Income group,Staple Foods,Percent of Median Daily Calorie Intake,Non-Staple Foods,Percent of Median Calorie Intake
Low Income,Cereals,55.8,Starchs & Sugars,4.4
Low Income,Cereals,55.8,Legumes & Products,3.7
Low Income,Cereals,55.8,Fruits & Plantains,3.5
Low Income,Cereals,55.8,Dairy & Egg Products,2.1
Low Income,Roots & Tubers,13.5,Beef Products,1.8
Low Income,Roots & Tubers,13.5,Vegetables,1.4
Low Income,Roots & Tubers,13.5,Finfish / Shellfish Products,0.4
Low Income,Roots & Tubers,13.5,Poultry,0.4
Low Income,"Seeds, Nuts, and Oils",12.6,Pork,0.4
Low Income,"Seeds, Nuts, and Oils",12.6,Spices & Herbs,0
Low Income,"Seeds, Nuts, and Oils",12.6,Infant Foods,0
Lower Middle Income,Cereals,54.6,Starchs & Sugars,9
Lower Middle Income,Cereals,54.6,Roots & Tubers,5
Lower Middle Income,Cereals,54.6,Dairy & Egg Products,4.3
Lower Middle Income,Cereals,54.6,Fruits & Plantains,3.9
Lower Middle Income,Cereals,54.6,Beef Products,3
Lower Middle Income,Cereals,54.6,Legumes & Products,3
Lower Middle Income,"Seeds, Nuts, and Oils",12.8,Vegetables,1.8
Lower Middle Income,"Seeds, Nuts, and Oils",12.8,Poultry,1
Lower Middle Income,"Seeds, Nuts, and Oils",12.8,Finfish / Shellfish Products,0.9
Lower Middle Income,"Seeds, Nuts, and Oils",12.8,Pork,0.6
Lower Middle Income,"Seeds, Nuts, and Oils",12.8,Spices & Herbs,0.1
Lower Middle Income,"Seeds, Nuts, and Oils",12.8,Infant Food,0
Upper Middle Income,Cereals,41.8,Dairy & Egg Products,8.6
Upper Middle Income,Cereals,41.8,Fruits & Plantains,4.4
Upper Middle Income,Cereals,41.8,Beef Products,4.1
Upper Middle Income,Cereals,41.8,Roots & Tubers,3.4
Upper Middle Income,Cereals,41.8,Poultry,3.3
Upper Middle Income,"Seeds, Nuts, and Oils",14.3,Vegetables,2.5
Upper Middle Income,"Seeds, Nuts, and Oils",14.3,Pork,2.2
Upper Middle Income,"Seeds, Nuts, and Oils",14.3,Legumes & Products,1.9
Upper Middle Income,Starchs & Sugars,12.5,Finfish / Shellfish Products,0.7
Upper Middle Income,Starchs & Sugars,12.5,Spices & Herbs,0.1
Upper Middle Income,Starchs & Sugars,12.5,Infant food,0.1
High Income,Cereals,32.4,Starchs & Sugars,11.7
High Income,Cereals,32.4,Beef Products,5.7
High Income,Cereals,32.4,Pork,5
High Income,Cereals,32.4,Fruits & Plantains,4.2
High Income,Cereals,32.4,Poultry,3.6
High Income,"Seeds, Nuts, and Oils",15.6,Roots & Tubers,2.8
High Income,"Seeds, Nuts, and Oils",15.6,Vegetables,2.5
High Income,"Seeds, Nuts, and Oils",15.6,Finfish / Shellfish Products,1.5
High Income,Dairy & Egg Products,13.8,Legumes & Products,1
High Income,Dairy & Egg Products,13.8,Spices & Herbs,0.2
High Income,Dairy & Egg Products,13.8,Infant Food,0.1
