,food_group,"Zinc, Zn",Water,Vitamin K (phylloquinone),"Vitamin E, added",Vitamin E (alpha-tocopherol),Vitamin D3 (cholecalciferol),Vitamin D2 (ergocalciferol),Vitamin D (D2 + D3),Vitamin D,"Vitamin C, total ascorbic acid",Vitamin B-6,"Vitamin B-12, added",Vitamin B-12,"Vitamin A, RAE","Vitamin A, IU",Valine,Tyrosine,Tryptophan,Total lipid (fat),"Tocotrienol, gamma","Tocotrienol, delta","Tocotrienol, beta","Tocotrienol, alpha","Tocopherol, gamma","Tocopherol, delta","Tocopherol, beta",Threonine,Thiamin,Theobromine,"Sugars, total",Sucrose,Stigmasterol,Starch,"Sodium, Na",Serine,"Selenium, Se",Riboflavin,Retinol,Protein,Proline,"Potassium, K",Phytosterols,"Phosphorus, P",Phenylalanine,Pantothenic acid,Niacin,Methionine,Menaquinone-4,"Manganese, Mn",Maltose,"Magnesium, Mg",Lysine,Lycopene,Lutein + zeaxanthin,Leucine,Lactose,Isoleucine,"Iron, Fe",Hydroxyproline,Histidine,Glycine,Glutamic acid,Glucose (dextrose),Galactose,Fructose,Folic acid,"Folate, total","Folate, food","Folate, DFE","Fluoride, F","Fiber, total dietary","Fatty acids, total trans-polyenoic","Fatty acids, total trans-monoenoic","Fatty acids, total trans","Fatty acids, total saturated","Fatty acids, total polyunsaturated","Fatty acids, total monounsaturated",Energy,Dihydrophylloquinone,Cystine,"Cryptoxanthin, beta","Copper, Cu","Choline, total",Cholesterol,"Carotene, beta","Carotene, alpha","Carbohydrate, by difference",Campesterol,"Calcium, Ca",Caffeine,Betaine,Beta-sitosterol,Aspartic acid,Ash,Arginine,"Alcohol, ethyl",Alanine,Adjusted Protein,8:0,6:0,4:0,24:1 c,24:0,22:6 n-3 (DHA),22:5 n-3 (DPA),22:4,22:1 undifferentiated,22:1 t,22:1 c,22:0,21:5,20:5 n-3 (EPA),20:4 undifferentiated,20:4 n-6,20:3 undifferentiated,20:3 n-6,20:3 n-3,"20:2 n-6 c,c",20:1,20:0,18:4,18:3i,18:3 undifferentiated,"18:3 n-6 c,c,c","18:3 n-3 c,c,c (ALA)",18:2 undifferentiated,"18:2 t,t",18:2 t not further defined,"18:2 n-6 c,c",18:2 i,18:2 CLAs,18:1-11 t (18:1t n-7),18:1 undifferentiated,18:1 t,18:1 c,18:0,17:1,17:0,16:1 undifferentiated,16:1 t,16:1 c,16:0,15:1,15:0,14:1,14:0,13:0,12:0,10:0
0,Dairy and Egg Products,0.825,63.55,0.6,0.0,0.18,0.5,0.0,0.5,20.0,0.0,0.05,0.0,0.52,88.0,332.0,0.692,0.457,0.137,9.4,0.0,0.0,0.0,0.0,0.02,0.0,0.0,0.465,0.037,0.0,5.0,0.0,0.0,0.0,129.0,0.594,9.1,0.2385,89.0,9.035,0.615,152.0,11.0,150.5,0.54,0.4085,0.107,0.282,4.6,0.018,0.0,16.0,0.806,0.0,0.0,0.992,2.42,0.565,0.185,0.0,0.273,0.209,1.662,0.01,0.02,0.0,0.0,10.0,9.0,9.5,8.5,0.0,0.067,0.212,0.085,3.4695,0.4,2.082,481.0,0.0,0.083,0.0,0.03,15.6,21.0,7.5,0.0,5.52,0.0,141.5,0.0,0.7,0.0,0.839,1.2,0.467,0.0,0.384,,0.041,0.04,0.063,0.0,0.0,0.0,0.0,0.003,0.0,0.0,0.0,0.002,0.0,0.0,0.0,,0.0025,0.011,0.0,0.003,0.0,0.0035,0.0,0.0,0.052,0.0,0.036,0.263,0.025500000000000002,0.078,0.226,0.007,0.017,0.158,1.873,0.2085,2.977,0.82,0.005,0.021,0.1,0.0335,0.121,1.993,0.0,0.02,0.016,0.297,0.0,0.093,0.076
1,Spices and Herbs,2.84,9.31,24.6,0.0,1.69,,,0.0,0.0,15.200000000000001,0.397,0.0,0.0,17.0,446.5,0.5435000000000001,0.297,0.11,5.665,0.0,0.0,0.0,0.0,1.53,0.0,0.0,0.27949999999999997,0.197,0.0,2.99,0.62,7.0,0.32,51.0,0.28,5.1,0.266,0.0,9.35,0.816,1000.0,69.5,173.5,0.4475,0.44299999999999995,1.9144999999999999,0.119,0.0,2.3739999999999997,0.0,174.5,0.375,0.0,113.0,0.679,0.0,0.402,13.935,0.0,0.16999999999999998,0.497,1.413,1.04,0.15,0.75,0.0,56.0,56.0,56.5,2.0,14.8,0.024499999999999997,0.0,0.0,0.73,1.19,0.905,735.0,0.0,0.138,7.0,0.5725,31.299999999999997,0.0,91.0,0.0,52.07,29.0,383.0,0.0,3.4,109.0,1.413,5.895,0.6100000000000001,0.0,0.45,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.018,0.016,,0.0,0.0,,0.0,0.0,0.009,0.0,0.0,0.02,0.0,0.0,0.223,0.0,0.273,0.706,,0.0235,1.248,,0.0,,0.798,0.0,0.761,0.1615,0.0,0.0,0.016,0.0,0.008,0.574,0.0,0.0,0.0,0.02,0.0,0.002,0.0
2,Baby Foods,0.49,83.2,5.1,0.0,0.56,0.1,0.0,0.0,2.0,7.9,0.06,0.0,0.1,42.5,197.0,0.1295,0.094,0.032,2.52,0.0,0.0,0.0,0.01,0.03,0.0,0.0,0.097,0.048,0.0,7.4,0.99,0.0,1.24,26.0,0.104,2.0,0.079,0.0,1.97,0.186,122.0,0.0,42.0,0.1075,0.262,0.69,0.054,0.6000000000000001,0.056,0.01,9.0,0.154,0.0,2.5,0.208,0.0,0.118,0.87,0.001,0.07,0.098,0.47950000000000004,0.63,0.0,0.49,0.0,10.0,2.0,15.0,8.149999999999999,0.4,0.0,0.0,0.0,1.018,0.3785,0.755,174.0,0.0,0.031,0.0,0.057,10.8,0.0,4.0,0.0,11.7,0.0,37.0,0.0,0.6,0.0,0.243,0.53,0.122,0.0,0.1245,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04,0.0,0.029,0.322,,0.0,0.363,,0.0,,0.708,0.0,0.207,0.1175,0.0,0.0,0.006,0.0,0.001,0.426,0.0,0.0,0.0,0.031,0.0,0.007,0.001
3,Fats and Oils,0.0,0.07,42.2,0.0,5.0,0.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,99.8,0.0,0.0,0.0,0.0,24.06,4.84,0.245,0.0,0.0,0.0,0.0,0.89,31.0,0.86,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,120.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.43,0.0,4.5,0.0,0.0,0.0,0.0,27.0,0.0,0.446,0.47850000000000004,1.148,14.198,16.8,22.8,2291.5,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,48.0,0.0,0.0,0.0,112.0,0.0,0.01,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.043,0.0,0.0,0.0,0.0,0.0,0.007,0.15,,0.0,0.0,,0.0015,0.003,0.0,0.009,0.077,0.2305,0.0,0.211,1.2930000000000001,0.055,1.957,13.919,0.449,0.219,14.339,0.9015,0.028,,22.049999999999997,0.287,20.7595,3.4505,0.0225,0.05,0.057,0.0,0.0685,7.9895,0.0,0.014,0.0,0.095,0.0005,0.0,0.0
4,Poultry Products,2.02,66.505,0.0,0.0,0.22,0.2,,0.2,7.0,0.0,0.3955,0.0,0.47,16.0,56.0,1.0510000000000002,0.744,0.252,7.995,0.03,0.0,0.0,0.0,0.07,0.0,0.0,0.93,0.0695,0.0,0.0,0.065,,0.05,90.0,0.8705,23.15,0.209,17.0,23.270000000000003,1.134,237.0,0.0,196.5,0.874,0.989,6.38,0.617,17.5,0.018,0.0,22.0,1.9275,0.0,0.0,1.7455,0.0,1.028,1.1949999999999998,0.1855,0.66,1.2765,3.343,0.0,0.0,0.0,0.0,7.0,7.0,7.0,14.7,0.0,0.015,0.042,0.075,2.19,1.832,2.855,455.25,0.0,0.262,0.0,0.074,68.15,88.0,0.0,0.0,0.0,,13.0,0.0,6.2,,2.045,1.06,1.466,0.0,1.3439999999999999,,0.0,0.0,0.0,0.001,0.001,0.007,0.01,0.019,0.0,0.0,0.001,0.004,0.0,0.005,0.091,,0.009,0.012,0.0,0.011,0.03,0.0045000000000000005,0.0,0.0,0.08,0.003,0.054,1.51,0.033,0.013,1.311,,0.007,,2.44,0.039,1.8675,0.5585,0.005,0.009,0.3665,0.004,0.197,1.52,0.0,0.006,0.008,0.056,,0.01,0.0
5,"Soups, Sauces, and Gravies",0.3,85.9,1.5,0.0,0.24,,0.2,0.0,0.0,0.3,0.041,0.0,0.06,19.0,308.0,0.138,0.094,0.029,1.5,0.0,0.0,0.0,0.0,0.13,0.0,0.0,0.092,0.03,0.0,1.69,0.125,,3.145,384.0,0.119,2.9,0.0525,0.0,2.22,0.197,159.0,22.5,35.0,0.11,0.145,0.664,0.05,0.0,0.15,0.0,8.0,0.159,0.0,10.0,0.2,0.0,0.111,0.44,0.0,0.06,0.075,0.621,0.21500000000000002,0.0,0.015,0.0,7.0,5.0,6.5,42.7,0.8,0.0055,0.0095,0.0,0.408,0.332,0.515,140.0,0.0,0.024,0.0,0.084,8.9,4.0,119.0,0.0,7.7,,15.0,0.0,0.7,,0.201,1.52,0.093,0.0,0.094,,0.0,0.0,0.0,0.0,0.001,0.0,0.0,0.0,0.0,0.0,0.0,0.001,,0.0,0.0,,0.0005,0.0,0.0,0.001,0.0,0.002,0.0,0.0,0.023,0.0,0.0205,0.255,,0.005,0.35650000000000004,0.009,0.002,,0.462,0.0095,0.6174999999999999,0.126,0.0035,0.003,0.03,0.0,0.026000000000000002,0.3005,0.0,0.003,0.002,0.026,0.0005,0.003,0.001
6,Sausages and Luncheon Meats,2.125,57.58,0.5,0.0,0.25,0.6,0.0,0.7,27.5,0.0,0.2285,0.0,1.05,0.0,0.0,0.719,0.487,0.151,22.2,0.0,0.0,0.0,0.02,0.09,0.0,0.0,0.601,0.172,0.0,0.11499999999999999,0.0,,0.0,982.0,0.602,17.75,0.177,0.0,14.6,0.782,252.5,0.0,158.0,0.573,0.59,3.3434999999999997,0.364,18.5,0.0375,0.02,16.0,1.16,0.0,0.0,1.113,0.0,0.639,1.22,0.199,0.47,0.91,2.286,0.5,0.0,0.0,0.0,5.0,5.0,5.0,36.0,0.0,0.046,0.158,0.2095,7.3045,2.36,9.628,692.5,0.0,0.175,0.0,0.08,60.0,68.0,0.0,0.0,2.76,,15.0,0.0,4.8,,1.311,3.29,0.9235,0.0,0.902,,0.0,0.0,0.0,0.001,0.002,0.0,0.0,0.033,0.0,0.0,0.005,0.002,0.0,0.0,0.024,,0.014499999999999999,0.033,0.016,0.0875,0.0115,0.032,0.0,0.0,0.169,0.0055,0.1735,2.16,0.062,0.043,3.808,,0.042,,8.443000000000001,0.156,8.967,2.232,0.041,0.072,0.683,0.013,0.695,4.49,0.0,0.022,0.0135,0.282,,0.017,0.0185
7,Breakfast Cereals,2.7,3.5,1.2,0.0,0.51,3.3,0.0,2.7,107.0,1.0,1.079,4.3,2.7,356.0,1188.0,0.3185,0.152,0.0665,3.5,0.0,0.0,0.0,0.18,0.15,0.0,0.02,0.2295,0.943,0.0,21.43,1.255,,38.25,394.0,0.3055,13.0,0.87,377.5,7.8,0.4395,245.0,0.0,200.0,0.33999999999999997,0.465,10.513,0.1065,0.0,1.214,0.08,58.0,0.1345,0.0,137.0,0.556,0.0,0.255,14.5,0.0,0.1625,0.2635,1.4049999999999998,0.0,0.0,0.07,318.0,333.0,19.0,563.0,53.35,7.1,0.0025,0.0,0.0,0.6,1.1,0.887,959.0,0.0,0.109,0.0,0.211,16.1,0.0,3.0,0.0,79.9,,55.0,0.0,11.149999999999999,,0.46399999999999997,2.61,0.287,0.0,0.3355,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.001,0.002,0.0,0.0,0.0475,0.0,0.037,0.9095,,0.003,0.841,0.001,0.0,,0.5914999999999999,0.0,0.422,0.051,0.0,0.0,0.004,0.0,0.003,0.398,0.0,0.0,0.0,0.003,0.0,0.0,0.0
8,Snacks,1.31,8.094999999999999,1.85,0.0,1.68,,,0.85,34.0,7.7,0.864,0.755,1.0,94.0,313.5,,,,10.035,,,,,,,,,0.6485000000000001,0.0,38.885,,,,409.5,,16.3,0.7344999999999999,94.0,7.779999999999999,,198.5,,145.5,,0.27949999999999997,8.6425,,,0.8065,,33.5,,0.0,0.0,,,,4.275,,,,,,,,43.5,56.5,13.0,87.0,,1.1,,,0.0,4.557,1.144,3.8765,1065.5,,,0.0,0.11699999999999999,26.7,3.0,0.0,0.0,72.39,,220.5,0.0,,,,1.6800000000000002,,0.0,,,0.1625,0.025,0.0225,0.0,,0.0,0.0,,0.0,,,,,0.0,0.0,,0.0,,,0.0,0.036,0.0,0.0,,0.0455,,,1.0985,,,,,,,3.827,,,0.4405,,,0.013000000000000001,,,1.9195,,,,0.4885,,1.36,0.122
9,Fruits and Fruit Juices,0.09,84.01,1.55,0.0,0.18,0.5,,0.0,0.0,8.0,0.047,0.0,0.0,4.0,74.0,0.019,0.0115,0.006,0.16,0.0,0.0,0.0,0.0,0.01,0.0,0.0,0.016,0.022,0.0,11.175,1.13,2.0,0.0,3.0,0.022,0.3,0.029,0.0,0.6,0.027,136.0,12.0,13.0,0.0185,0.108,0.333,0.006,0.0,0.074,0.0,10.0,0.0225,0.0,34.0,0.0245,0.0,0.013,0.31,0.0,0.009,0.017,0.07,3.33,0.0,4.97,0.0,5.0,5.0,5.0,7.8,1.6,0.0,0.0,0.0,0.02,0.0455,0.022,155.5,0.0,0.005,1.0,0.064,5.1,0.0,30.0,0.0,14.94,5.0,11.0,0.0,0.2,76.0,0.106,0.36,0.024,0.0,0.026,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.009,0.0,0.023,0.032,,0.0,0.033,,0.0,,0.0215,0.0,0.025,0.003,0.0,0.0,0.001,0.0,0.004,0.016,0.0,0.001,0.0,0.0,,0.0,0.0
