,mfad_values
Dairy and Egg Products - Spices and Herbs,6.540965336
Dairy and Egg Products - Baby Foods,2.671401164
Dairy and Egg Products - Fats and Oils,12.6131185
Dairy and Egg Products - Poultry Products,2.353811151
"Dairy and Egg Products - Soups, Sauces, and Gravies",3.283458405
Dairy and Egg Products - Sausages and Luncheon Meats,6.473546968
Dairy and Egg Products - Breakfast Cereals,8.901639179
Dairy and Egg Products - Snacks,4.497905446
Dairy and Egg Products - Fruits and Fruit Juices,3.349199822
Dairy and Egg Products - Pork Products,2.932316375
Dairy and Egg Products - Vegetables and Vegetable Products,3.437523333
Dairy and Egg Products - Nut and Seed Products,8.127327094
Dairy and Egg Products - Beef Products,2.949505173
Dairy and Egg Products - Beverages,3.847776772
Dairy and Egg Products - Finfish and Shellfish Products,2.75677193
Dairy and Egg Products - Legumes and Legume Products,3.280758768
Spices and Herbs - Baby Foods,7.844687281
Spices and Herbs - Fats and Oils,13.22328822
Spices and Herbs - Poultry Products,6.798225751
"Spices and Herbs - Soups, Sauces, and Gravies",7.958440551
Spices and Herbs - Sausages and Luncheon Meats,9.093830585
Spices and Herbs - Breakfast Cereals,9.80392343
Spices and Herbs - Snacks,6.675910791
Spices and Herbs - Fruits and Fruit Juices,8.071888061
Spices and Herbs - Pork Products,6.420847483
Spices and Herbs - Vegetables and Vegetable Products,7.313773279
Spices and Herbs - Nut and Seed Products,7.168860431
Spices and Herbs - Beef Products,6.41442862
Spices and Herbs - Beverages,8.979215394
Spices and Herbs - Finfish and Shellfish Products,6.461699798
Spices and Herbs - Legumes and Legume Products,6.466232366
Baby Foods - Fats and Oils,14.38634069
Baby Foods - Poultry Products,2.642471849
"Baby Foods - Soups, Sauces, and Gravies",2.678913796
Baby Foods - Sausages and Luncheon Meats,7.549587266
Baby Foods - Breakfast Cereals,10.75472032
Baby Foods - Snacks,6.84152565
Baby Foods - Fruits and Fruit Juices,1.10419386
Baby Foods - Pork Products,3.189492951
Baby Foods - Vegetables and Vegetable Products,1.903641494
Baby Foods - Nut and Seed Products,9.936549889
Baby Foods - Beef Products,3.482189973
Baby Foods - Beverages,1.627958381
Baby Foods - Finfish and Shellfish Products,2.618839099
Baby Foods - Legumes and Legume Products,2.712457205
Fats and Oils - Poultry Products,12.59837827
"Fats and Oils - Soups, Sauces, and Gravies",14.92081837
Fats and Oils - Sausages and Luncheon Meats,12.80968434
Fats and Oils - Breakfast Cereals,13.93914906
Fats and Oils - Snacks,9.318839951
Fats and Oils - Fruits and Fruit Juices,14.43648437
Fats and Oils - Pork Products,12.64268198
Fats and Oils - Vegetables and Vegetable Products,15.12398318
Fats and Oils - Nut and Seed Products,7.411609156
Fats and Oils - Beef Products,11.99970916
Fats and Oils - Beverages,14.63043331
Fats and Oils - Finfish and Shellfish Products,13.62655587
Fats and Oils - Legumes and Legume Products,13.59681948
"Poultry Products - Soups, Sauces, and Gravies",3.736306895
Poultry Products - Sausages and Luncheon Meats,6.221520201
Poultry Products - Breakfast Cereals,10.49857904
Poultry Products - Snacks,5.33157328
Poultry Products - Fruits and Fruit Juices,2.672240977
Poultry Products - Pork Products,0.864806133
Poultry Products - Vegetables and Vegetable Products,3.443994493
Poultry Products - Nut and Seed Products,7.665447543
Poultry Products - Beef Products,0.994784369
Poultry Products - Beverages,3.138835232
Poultry Products - Finfish and Shellfish Products,1.458218274
Poultry Products - Legumes and Legume Products,1.929135437
"Soups, Sauces, and Gravies - Sausages and Luncheon Meats",6.027716851
"Soups, Sauces, and Gravies - Breakfast Cereals",10.20778815
"Soups, Sauces, and Gravies - Snacks",6.599933856
"Soups, Sauces, and Gravies - Fruits and Fruit Juices",3.086839458
"Soups, Sauces, and Gravies - Pork Products",4.168797876
"Soups, Sauces, and Gravies - Vegetables and Vegetable Products",2.669021222
"Soups, Sauces, and Gravies - Nut and Seed Products",10.48290581
"Soups, Sauces, and Gravies - Beef Products",4.532058249
"Soups, Sauces, and Gravies - Beverages",3.473067204
"Soups, Sauces, and Gravies - Finfish and Shellfish Products",3.569582172
"Soups, Sauces, and Gravies - Legumes and Legume Products",3.931613184
Sausages and Luncheon Meats - Breakfast Cereals,10.96029394
Sausages and Luncheon Meats - Snacks,5.42893589
Sausages and Luncheon Meats - Fruits and Fruit Juices,7.655561102
Sausages and Luncheon Meats - Pork Products,6.247038661
Sausages and Luncheon Meats - Vegetables and Vegetable Products,7.901778508
Sausages and Luncheon Meats - Nut and Seed Products,9.000000329
Sausages and Luncheon Meats - Beef Products,6.264988665
Sausages and Luncheon Meats - Beverages,7.799416016
Sausages and Luncheon Meats - Finfish and Shellfish Products,6.605435784
Sausages and Luncheon Meats - Legumes and Legume Products,6.965888654
Breakfast Cereals - Snacks,7.831967792
Breakfast Cereals - Fruits and Fruit Juices,11.45958793
Breakfast Cereals - Pork Products,10.78945021
Breakfast Cereals - Vegetables and Vegetable Products,10.7168613
Breakfast Cereals - Nut and Seed Products,11.06970242
Breakfast Cereals - Beef Products,10.67500993
Breakfast Cereals - Beverages,11.98696257
Breakfast Cereals - Finfish and Shellfish Products,10.61487932
Breakfast Cereals - Legumes and Legume Products,10.92900052
Snacks - Fruits and Fruit Juices,7.22515056
Snacks - Pork Products,5.516106007
Snacks - Vegetables and Vegetable Products,7.412598404
Snacks - Nut and Seed Products,5.66429303
Snacks - Beef Products,5.139119457
Snacks - Beverages,7.605918978
Snacks - Finfish and Shellfish Products,6.064657118
Snacks - Legumes and Legume Products,6.282546298
Fruits and Fruit Juices - Pork Products,3.115067154
Fruits and Fruit Juices - Vegetables and Vegetable Products,2.09567378
Fruits and Fruit Juices - Nut and Seed Products,9.985738245
Fruits and Fruit Juices - Beef Products,3.413967707
Fruits and Fruit Juices - Beverages,1.161905666
Fruits and Fruit Juices - Finfish and Shellfish Products,2.688053882
Fruits and Fruit Juices - Legumes and Legume Products,2.4899418
Pork Products - Vegetables and Vegetable Products,3.749458317
Pork Products - Nut and Seed Products,7.364847638
Pork Products - Beef Products,0.713748332
Pork Products - Beverages,3.62137465
Pork Products - Finfish and Shellfish Products,1.311199125
Pork Products - Legumes and Legume Products,1.826640102
Vegetables and Vegetable Products - Nut and Seed Products,10.32875413
Vegetables and Vegetable Products - Beef Products,4.131456472
Vegetables and Vegetable Products - Beverages,2.884467765
Vegetables and Vegetable Products - Finfish and Shellfish Products,3.014801238
Vegetables and Vegetable Products - Legumes and Legume Products,3.095459165
Nut and Seed Products - Beef Products,6.878639777
Nut and Seed Products - Beverages,10.46855717
Nut and Seed Products - Finfish and Shellfish Products,8.261310209
Nut and Seed Products - Legumes and Legume Products,8.28522051
Beef Products - Beverages,3.881867072
Beef Products - Finfish and Shellfish Products,1.924125048
Beef Products - Legumes and Legume Products,2.17278066
Beverages - Finfish and Shellfish Products,3.304091538
Beverages - Legumes and Legume Products,3.144458967
Finfish and Shellfish Products - Legumes and Legume Products,1.651890676
