,mfad_values
Cereals - Vegetables,2.399558326161687
Cereals - Fruits & Plantains,2.4152255781916976
"Cereals - Seeds, Nuts, and Oils",2.2342820445853295
Cereals - Starch and Sugars,2.492036382470038
Cereals - Infant Food,2.499084051002774
Cereals - Dairy and Egg Products,2.354894295170031
Cereals - Finfish / Shellfish Products,2.4807671093457584
Cereals - Beef Products,2.3891922631653175
Cereals - Poultry,2.4879370314337708
Cereals - Legume and Legume Products,2.4673013878029075
Cereals - Spices & Herbs,2.495899033398939
Vegetables - Fruits & Plantains,0.10160747966668185
"Vegetables - Seeds, Nuts, and Oils",0.39983327915907124
Vegetables - Starch and Sugars,0.154222918050475
Vegetables - Infant Food,0.15828476484471216
Vegetables - Dairy and Egg Products,0.13242487237890965
Vegetables - Finfish / Shellfish Products,0.14261532591854686
Vegetables - Beef Products,0.16646350727159626
Vegetables - Poultry,0.1509739494647163
Vegetables - Legume and Legume Products,0.13412808157562967
Vegetables - Spices & Herbs,0.15473805387183584
"Fruits & Plantains - Seeds, Nuts, and Oils",0.34249873116651236
Fruits & Plantains - Starch and Sugars,0.11312180631913418
Fruits & Plantains - Infant Food,0.12213487292306652
Fruits & Plantains - Dairy and Egg Products,0.0987054381206134
Fruits & Plantains - Finfish / Shellfish Products,0.0955524838915519
Fruits & Plantains - Beef Products,0.11130654616159655
Fruits & Plantains - Poultry,0.10436297634442579
Fruits & Plantains - Legume and Legume Products,0.08481478733506476
Fruits & Plantains - Spices & Herbs,0.11822679742195101
"Seeds, Nuts, and Oils - Starch and Sugars",0.4086742647023822
"Seeds, Nuts, and Oils - Infant Food",0.41828085024912937
"Seeds, Nuts, and Oils - Dairy and Egg Products",0.31422607634044647
"Seeds, Nuts, and Oils - Finfish / Shellfish Products",0.3988311789172409
"Seeds, Nuts, and Oils - Beef Products",0.31850164608747494
"Seeds, Nuts, and Oils - Poultry",0.4044220829506229
"Seeds, Nuts, and Oils - Legume and Legume Products",0.3828717586098796
"Seeds, Nuts, and Oils - Spices & Herbs",0.41535564273989795
Starch and Sugars - Infant Food,0.012850966920590344
Starch and Sugars - Dairy and Egg Products,0.1469461600205443
Starch and Sugars - Finfish / Shellfish Products,0.02134646738247913
Starch and Sugars - Beef Products,0.14129659423359675
Starch and Sugars - Poultry,0.010331880079485482
Starch and Sugars - Legume and Legume Products,0.04472001566811462
Starch and Sugars - Spices & Herbs,0.011319646320977731
Infant Food - Dairy and Egg Products,0.15487813710611367
Infant Food - Finfish / Shellfish Products,0.026560949007619582
Infant Food - Beef Products,0.14949457911212716
Infant Food - Poultry,0.014951311209757494
Infant Food - Legume and Legume Products,0.051364097932710275
Infant Food - Spices & Herbs,0.004576793242988666
Dairy and Egg Products - Finfish / Shellfish Products,0.134885546669215
Dairy and Egg Products - Beef Products,0.10712043354228393
Dairy and Egg Products - Poultry,0.14243186815169834
Dairy and Egg Products - Legume and Legume Products,0.12494795984997982
Dairy and Egg Products - Spices & Herbs,0.15133224488638977
Finfish / Shellfish Products - Beef Products,0.12932547765675007
Finfish / Shellfish Products - Poultry,0.013858075650117548
Finfish / Shellfish Products - Legume and Legume Products,0.028819115072502
Finfish / Shellfish Products - Spices & Herbs,0.022807512449178734
Beef Products - Poultry,0.13652086359890336
Beef Products - Legume and Legume Products,0.11700597879918112
Beef Products - Spices & Herbs,0.14660354308764345
Poultry - Legume and Legume Products,0.038728642507505955
Poultry - Spices & Herbs,0.011695194814087193
Legume and Legume Products - Spices & Herbs,0.04736883078652127
Total,34.80744656097048
