,mfad_values
Cereals - Vegetables,3.4799425752657305
Cereals - Fruits & Plantains,3.533978269123283
"Cereals - Seeds, Nuts, and Oils",3.143594884984813
Cereals - Starch and Sugars,3.6037580250864427
Cereals - Infant Food,3.6214344268342624
Cereals - Dairy and Egg Products,3.416489022202572
Cereals - Finfish / Shellfish Products,3.5779436129198947
Cereals - Beef Products,3.4771170278312975
Cereals - Poultry,3.5884532380887606
Cereals - Legume and Legume Products,3.6023728086488185
Cereals - Spices & Herbs,3.6123761631869886
Vegetables - Fruits & Plantains,0.151505739903745
"Vegetables - Seeds, Nuts, and Oils",0.737869052798029
Vegetables - Starch and Sugars,0.21567011834845884
Vegetables - Infant Food,0.2249646199736585
Vegetables - Dairy and Egg Products,0.18829723461569844
Vegetables - Finfish / Shellfish Products,0.1904832187440524
Vegetables - Beef Products,0.22888486777899283
Vegetables - Poultry,0.2051519783029797
Vegetables - Legume and Legume Products,0.20816720771779493
Vegetables - Spices & Herbs,0.21497891915867545
"Fruits & Plantains - Seeds, Nuts, and Oils",0.6898782263191475
Fruits & Plantains - Starch and Sugars,0.1057295342673833
Fruits & Plantains - Infant Food,0.12689015491556035
Fruits & Plantains - Dairy and Egg Products,0.1467057913187655
Fruits & Plantains - Finfish / Shellfish Products,0.07726447982050992
Fruits & Plantains - Beef Products,0.1450634636161452
Fruits & Plantains - Poultry,0.08762665283330992
Fruits & Plantains - Legume and Legume Products,0.10300254610052889
Fruits & Plantains - Spices & Herbs,0.11592997165727756
"Seeds, Nuts, and Oils - Starch and Sugars",0.750187338236509
"Seeds, Nuts, and Oils - Infant Food",0.7741897149821608
"Seeds, Nuts, and Oils - Dairy and Egg Products",0.6198457546111893
"Seeds, Nuts, and Oils - Finfish / Shellfish Products",0.7290748613954443
"Seeds, Nuts, and Oils - Beef Products",0.6359945827337834
"Seeds, Nuts, and Oils - Poultry",0.7341933180363546
"Seeds, Nuts, and Oils - Legume and Legume Products",0.7522788995061602
"Seeds, Nuts, and Oils - Spices & Herbs",0.7659170514249225
Starch and Sugars - Infant Food,0.03219331011357019
Starch and Sugars - Dairy and Egg Products,0.20088199654747046
Starch and Sugars - Finfish / Shellfish Products,0.05050180309613228
Starch and Sugars - Beef Products,0.1763258098173933
Starch and Sugars - Poultry,0.03000022986921973
Starch and Sugars - Legume and Legume Products,0.027940398734107894
Starch and Sugars - Spices & Herbs,0.028097857089061755
Infant Food - Dairy and Egg Products,0.22011955565801136
Infant Food - Finfish / Shellfish Products,0.06319109030846179
Infant Food - Beef Products,0.19604818781231123
Infant Food - Poultry,0.04423826349569
Infant Food - Legume and Legume Products,0.030838829249203416
Infant Food - Spices & Herbs,0.012952255673952752
Dairy and Egg Products - Finfish / Shellfish Products,0.17455838906119012
Dairy and Egg Products - Beef Products,0.1481143194311764
Dairy and Egg Products - Poultry,0.1840760500004016
Dairy and Egg Products - Legume and Legume Products,0.20015880432652228
Dairy and Egg Products - Spices & Herbs,0.21011511661144613
Finfish / Shellfish Products - Beef Products,0.15062086460546042
Finfish / Shellfish Products - Poultry,0.027574840558855805
Finfish / Shellfish Products - Legume and Legume Products,0.03808560926248856
Finfish / Shellfish Products - Spices & Herbs,0.05263180735191782
Beef Products - Poultry,0.15853459055307761
Beef Products - Legume and Legume Products,0.1747033510508424
Beef Products - Spices & Herbs,0.18799730759955185
Poultry - Legume and Legume Products,0.023277047025923092
Poultry - Spices & Herbs,0.03492982229043107
Legume and Legume Products - Spices & Herbs,0.020369652133486172
Total,51.48228251261746
