,mfad_values
Cereals - Vegetables,3.0951577145845977
Cereals - Fruits & Plantains,3.190664951230266
"Cereals - Seeds, Nuts, and Oils",2.9472832787834387
Cereals - Starch and Sugars,3.282160422077152
Cereals - Infant Food,3.3106295423423684
Cereals - Dairy and Egg Products,2.849131214146336
Cereals - Finfish / Shellfish Products,3.2688579115287126
Cereals - Beef Products,3.1359591777730635
Cereals - Poultry,3.2303819834717586
Cereals - Legume and Legume Products,3.2981635344971254
Cereals - Spices & Herbs,3.2952233472163113
Vegetables - Fruits & Plantains,0.24392471920021472
"Vegetables - Seeds, Nuts, and Oils",0.5770862822746481
Vegetables - Starch and Sugars,0.3357686412273056
Vegetables - Infant Food,0.35058746497020754
Vegetables - Dairy and Egg Products,0.3840337279517188
Vegetables - Finfish / Shellfish Products,0.31491493265419024
Vegetables - Beef Products,0.3324443866821861
Vegetables - Poultry,0.30762864688730157
Vegetables - Legume and Legume Products,0.3390359044890956
Vegetables - Spices & Herbs,0.33359255353737133
"Fruits & Plantains - Seeds, Nuts, and Oils",0.46860587409334786
Fruits & Plantains - Starch and Sugars,0.14177335172970437
Fruits & Plantains - Infant Food,0.1751871285145113
Fruits & Plantains - Dairy and Egg Products,0.38127115332875666
Fruits & Plantains - Finfish / Shellfish Products,0.12153583365525288
Fruits & Plantains - Beef Products,0.17645857410349428
Fruits & Plantains - Poultry,0.09735963722703692
Fruits & Plantains - Legume and Legume Products,0.15887618794575056
Fruits & Plantains - Spices & Herbs,0.15658860942008965
"Seeds, Nuts, and Oils - Starch and Sugars",0.5381480531404574
"Seeds, Nuts, and Oils - Infant Food",0.5764161411913458
"Seeds, Nuts, and Oils - Dairy and Egg Products",0.3695998518571162
"Seeds, Nuts, and Oils - Finfish / Shellfish Products",0.5340567416804267
"Seeds, Nuts, and Oils - Beef Products",0.4225529329733712
"Seeds, Nuts, and Oils - Poultry",0.48314328274754653
"Seeds, Nuts, and Oils - Legume and Legume Products",0.5618755986769504
"Seeds, Nuts, and Oils - Spices & Herbs",0.5624628429561817
Starch and Sugars - Infant Food,0.052187298121281755
Starch and Sugars - Dairy and Egg Products,0.46755301403506416
Starch and Sugars - Finfish / Shellfish Products,0.0507494179706096
Starch and Sugars - Beef Products,0.20798267504967666
Starch and Sugars - Poultry,0.0783906771734624
Starch and Sugars - Legume and Legume Products,0.04308531069589238
Starch and Sugars - Spices & Herbs,0.04551082790978249
Infant Food - Dairy and Egg Products,0.4993993428624008
Infant Food - Finfish / Shellfish Products,0.06093294458840079
Infant Food - Beef Products,0.2388821218151299
Infant Food - Poultry,0.10823670805002239
Infant Food - Legume and Legume Products,0.020550409701430798
Infant Food - Spices & Herbs,0.02210569266439909
Dairy and Egg Products - Finfish / Shellfish Products,0.45291817874650214
Dairy and Egg Products - Beef Products,0.3564665140001953
Dairy and Egg Products - Poultry,0.4114988021144935
Dairy and Egg Products - Legume and Legume Products,0.48574982572279296
Dairy and Egg Products - Spices & Herbs,0.4822915691367873
Finfish / Shellfish Products - Beef Products,0.19389224972091262
Finfish / Shellfish Products - Poultry,0.05645550754708158
Finfish / Shellfish Products - Legume and Legume Products,0.04366892902130135
Finfish / Shellfish Products - Spices & Herbs,0.04376073219574505
Beef Products - Poultry,0.15267762917871536
Beef Products - Legume and Legume Products,0.22433881197574246
Beef Products - Spices & Herbs,0.22535483983748186
Poultry - Legume and Legume Products,0.09118847013428517
Poultry - Spices & Herbs,0.09180755754737879
Legume and Legume Products - Spices & Herbs,0.010755670954092496
Total,49.56693386123777
