,mfad_values
Cereals - Vegetables,2.6080791711155973
Cereals - Fruits & Plantains,2.7010318861114277
"Cereals - Seeds, Nuts, and Oils",2.3381337817578274
Cereals - Starch and Sugars,2.765629057429213
Cereals - Infant Food,2.7975463037317807
Cereals - Dairy and Egg Products,2.146519155386755
Cereals - Finfish / Shellfish Products,2.7223700588441853
Cereals - Beef Products,2.581803578751901
Cereals - Poultry,2.707701185279409
Cereals - Legume and Legume Products,2.787807909614852
Cereals - Spices & Herbs,2.7876958245971624
Vegetables - Fruits & Plantains,0.2208370151189974
"Vegetables - Seeds, Nuts, and Oils",0.7415676877929677
Vegetables - Starch and Sugars,0.29382931761514425
Vegetables - Infant Food,0.3092603209909619
Vegetables - Dairy and Egg Products,0.5657620993368454
Vegetables - Finfish / Shellfish Products,0.2528687695646848
Vegetables - Beef Products,0.3290466993826111
Vegetables - Poultry,0.2661663478987946
Vegetables - Legume and Legume Products,0.30020349120605816
Vegetables - Spices & Herbs,0.2982696531440965
"Fruits & Plantains - Seeds, Nuts, and Oils",0.6810057416329915
Fruits & Plantains - Starch and Sugars,0.10618898752750768
Fruits & Plantains - Infant Food,0.1409863449759682
Fruits & Plantains - Dairy and Egg Products,0.6103217399965698
Fruits & Plantains - Finfish / Shellfish Products,0.07568707207257651
Fruits & Plantains - Beef Products,0.23042108010323195
Fruits & Plantains - Poultry,0.0749539619911899
Fruits & Plantains - Legume and Legume Products,0.12813849182183532
Fruits & Plantains - Spices & Herbs,0.12894930924810785
"Seeds, Nuts, and Oils - Starch and Sugars",0.7305063707406467
"Seeds, Nuts, and Oils - Infant Food",0.7737962200037849
"Seeds, Nuts, and Oils - Dairy and Egg Products",0.503892304220187
"Seeds, Nuts, and Oils - Finfish / Shellfish Products",0.6993257092794078
"Seeds, Nuts, and Oils - Beef Products",0.5779993382128277
"Seeds, Nuts, and Oils - Poultry",0.6681351153495965
"Seeds, Nuts, and Oils - Legume and Legume Products",0.7622321297594921
"Seeds, Nuts, and Oils - Spices & Herbs",0.7647088438934251
Starch and Sugars - Infant Food,0.05877086835759027
Starch and Sugars - Dairy and Egg Products,0.6758583649632586
Starch and Sugars - Finfish / Shellfish Products,0.08807147693810835
Starch and Sugars - Beef Products,0.26336053081558664
Starch and Sugars - Poultry,0.0881017852781437
Starch and Sugars - Legume and Legume Products,0.05076582430170401
Starch and Sugars - Spices & Herbs,0.05329425017706952
Infant Food - Dairy and Egg Products,0.7120931634500909
Infant Food - Finfish / Shellfish Products,0.11034280307438354
Infant Food - Beef Products,0.29860265226891236
Infant Food - Poultry,0.12163809400466201
Infant Food - Legume and Legume Products,0.01633749820048187
Infant Food - Spices & Herbs,0.014339423831958763
Dairy and Egg Products - Finfish / Shellfish Products,0.6286427012139736
Dairy and Egg Products - Beef Products,0.5258292967753876
Dairy and Egg Products - Poultry,0.6122387022338523
Dairy and Egg Products - Legume and Legume Products,0.7013356527206823
Dairy and Egg Products - Spices & Herbs,0.7010670226338686
Finfish / Shellfish Products - Beef Products,0.2210435194322911
Finfish / Shellfish Products - Poultry,0.045341918425319025
Finfish / Shellfish Products - Legume and Legume Products,0.09623231773115191
Finfish / Shellfish Products - Spices & Herbs,0.09851219162930969
Beef Products - Poultry,0.20020460384322383
Beef Products - Legume and Legume Products,0.2869614889869668
Beef Products - Spices & Herbs,0.28967109826023096
Poultry - Legume and Legume Products,0.1080119869820365
Poultry - Spices & Herbs,0.11074854573637453
Legume and Legume Products - Spices & Herbs,0.00800908849746497
Total,47.36480494626471
