Area,Item,Value
Afghanistan,Wheat and products,1362
Afghanistan,Rice and products,140
Afghanistan,Barley and products,1
Afghanistan,Maize and products,30
Afghanistan,Oats,0
Afghanistan,Millet and products,1
Afghanistan,"Cereals, Other",0
Afghanistan,Cassava and products,0
Afghanistan,Potatoes and products,53
Afghanistan,"Roots, Other",0
Afghanistan,Sugar (Raw Equivalent),148
Afghanistan,"Sweeteners, Other",1
Afghanistan,Honey,0
Afghanistan,"Pulses, Other and products",17
Afghanistan,Nuts and products,12
Afghanistan,Soyabeans,0
Afghanistan,Groundnuts,12
Afghanistan,Rape and Mustardseed,0
Afghanistan,Coconuts - Incl Copra,0
Afghanistan,Sesame seed,5
Afghanistan,Olives (including preserved),0
Afghanistan,Soyabean Oil,7
Afghanistan,Groundnut Oil,0
Afghanistan,Sunflowerseed Oil,31
Afghanistan,Rape and Mustard Oil,1
Afghanistan,Cottonseed Oil,2
Afghanistan,Palmkernel Oil,0
Afghanistan,Palm Oil,108
Afghanistan,Coconut Oil,1
Afghanistan,Sesameseed Oil,1
Afghanistan,Olive Oil,0
Afghanistan,Maize Germ Oil,2
Afghanistan,"Oilcrops Oil, Other",26
Afghanistan,Tomatoes and products,0
Afghanistan,Onions,4
Afghanistan,"Vegetables, other",30
Afghanistan,"Oranges, Mandarines",3
Afghanistan,"Lemons, Limes and products",0
Afghanistan,Grapefruit and products,0
Afghanistan,"Citrus, Other",2
Afghanistan,Bananas,5
Afghanistan,Apples and products,4
Afghanistan,Pineapples and products,0
Afghanistan,Dates,2
Afghanistan,Grapes and products (excl wine),34
Afghanistan,"Fruits, other",9
Afghanistan,Coffee and products,0
Afghanistan,Cocoa Beans and products,1
Afghanistan,Tea (including mate),2
Afghanistan,Pepper,0
Afghanistan,Pimento,0
Afghanistan,Cloves,0
Afghanistan,"Spices, Other",1
Afghanistan,Wine,0
Afghanistan,Beer,0
Afghanistan,"Beverages, Fermented",0
Afghanistan,"Beverages, Alcoholic",0
Afghanistan,Bovine Meat,16
Afghanistan,Mutton & Goat Meat,21
Afghanistan,Pigmeat,0
Afghanistan,Poultry Meat,6
Afghanistan,"Meat, Other",1
Afghanistan,"Offals, Edible",4
Afghanistan,"Butter, Ghee",21
Afghanistan,Cream,0
Afghanistan,"Fats, Animals, Raw",8
Afghanistan,Eggs,4
Afghanistan,Milk - Excluding Butter,95
Afghanistan,Freshwater Fish,1
Afghanistan,Demersal Fish,0
Afghanistan,Pelagic Fish,0
Afghanistan,Infant food,1
Afghanistan,Miscellaneous,1
Albania,Wheat and products,969
Albania,Rice and products,69
Albania,Barley and products,1
Albania,Maize and products,19
Albania,Rye and products,5
Albania,Oats,1
Albania,"Cereals, Other",2
Albania,Cassava and products,0
Albania,Potatoes and products,89
Albania,Sweet potatoes,0
Albania,"Roots, Other",0
Albania,Sugar (Raw Equivalent),160
Albania,"Sweeteners, Other",33
Albania,Honey,11
Albania,Beans,46
Albania,Peas,0
Albania,"Pulses, Other and products",4
Albania,Nuts and products,35
Albania,Soyabeans,0
Albania,Groundnuts,7
Albania,Rape and Mustardseed,1
Albania,Coconuts - Incl Copra,0
Albania,Olives (including preserved),24
Albania,"Oilcrops, Other",0
Albania,Soyabean Oil,9
Albania,Groundnut Oil,3
Albania,Sunflowerseed Oil,114
Albania,Rape and Mustard Oil,0
Albania,Sesameseed Oil,0
Albania,Olive Oil,86
Albania,Maize Germ Oil,8
Albania,"Oilcrops Oil, Other",21
Albania,Tomatoes and products,39
Albania,Onions,30
Albania,"Vegetables, other",137
Albania,"Oranges, Mandarines",17
Albania,"Lemons, Limes and products",1
Albania,Grapefruit and products,0
Albania,"Citrus, Other",0
Albania,Bananas,14
Albania,Apples and products,44
Albania,Pineapples and products,0
Albania,Dates,19
Albania,Grapes and products (excl wine),115
Albania,"Fruits, other",79
Albania,Coffee and products,4
Albania,Cocoa Beans and products,19
Albania,Tea (including mate),0
Albania,Pepper,0
Albania,Pimento,2
Albania,"Spices, Other",0
Albania,Wine,4
Albania,Beer,44
Albania,"Beverages, Fermented",0
Albania,"Beverages, Alcoholic",6
Albania,Bovine Meat,59
Albania,Mutton & Goat Meat,47
Albania,Pigmeat,59
Albania,Poultry Meat,62
Albania,"Meat, Other",4
Albania,"Offals, Edible",17
Albania,"Butter, Ghee",30
Albania,Cream,1
Albania,"Fats, Animals, Raw",37
Albania,"Fish, Body Oil",0
Albania,"Fish, Liver Oil",0
Albania,Eggs,59
Albania,Milk - Excluding Butter,626
Albania,Freshwater Fish,1
Albania,Demersal Fish,2
Albania,Pelagic Fish,7
Albania,"Marine Fish, Other",1
Albania,Crustaceans,2
Albania,Cephalopods,2
Albania,"Molluscs, Other",0
Albania,"Aquatic Animals, Others",0
Albania,Aquatic Plants,0
Albania,Infant food,1
Albania,Miscellaneous,7
Algeria,Wheat and products,1398
Algeria,Rice and products,28
Algeria,Barley and products,107
Algeria,Maize and products,129
Algeria,Rye and products,0
Algeria,Oats,0
Algeria,Sorghum and products,0
Algeria,"Cereals, Other",0
Algeria,Cassava and products,0
Algeria,Potatoes and products,127
Algeria,Sweet potatoes,0
Algeria,"Roots, Other",0
Algeria,Sugar beet,0
Algeria,Sugar (Raw Equivalent),272
Algeria,"Sweeteners, Other",10
Algeria,Honey,1
Algeria,Beans,14
Algeria,Peas,4
Algeria,"Pulses, Other and products",45
Algeria,Nuts and products,16
Algeria,Soyabeans,0
Algeria,Groundnuts,4
Algeria,Rape and Mustardseed,0
Algeria,Coconuts - Incl Copra,0
Algeria,Sesame seed,2
Algeria,Olives (including preserved),10
Algeria,"Oilcrops, Other",0
Algeria,Soyabean Oil,354
Algeria,Groundnut Oil,14
Algeria,Sunflowerseed Oil,30
Algeria,Rape and Mustard Oil,4
Algeria,Palm Oil,9
Algeria,Coconut Oil,1
Algeria,Sesameseed Oil,0
Algeria,Olive Oil,52
Algeria,Maize Germ Oil,0
Algeria,"Oilcrops Oil, Other",35
Algeria,Tomatoes and products,20
Algeria,Onions,37
Algeria,"Vegetables, other",100
Algeria,"Oranges, Mandarines",27
Algeria,"Lemons, Limes and products",1
Algeria,Grapefruit and products,0
Algeria,"Citrus, Other",0
Algeria,Bananas,7
Algeria,Plantains,0
Algeria,Apples and products,16
Algeria,Pineapples and products,0
Algeria,Dates,115
Algeria,Grapes and products (excl wine),20
Algeria,"Fruits, other",32
Algeria,Coffee and products,4
Algeria,Cocoa Beans and products,4
Algeria,Tea (including mate),0
Algeria,Pepper,0
Algeria,Pimento,4
Algeria,Cloves,0
Algeria,"Spices, Other",2
Algeria,Wine,0
Algeria,Beer,5
Algeria,"Beverages, Fermented",0
Algeria,"Beverages, Alcoholic",1
Algeria,Bovine Meat,24
Algeria,Mutton & Goat Meat,45
Algeria,Pigmeat,0
Algeria,Poultry Meat,22
Algeria,"Meat, Other",1
Algeria,"Offals, Edible",5
Algeria,"Butter, Ghee",9
Algeria,Cream,0
Algeria,"Fats, Animals, Raw",6
Algeria,"Fish, Body Oil",0
Algeria,"Fish, Liver Oil",0
Algeria,Eggs,23
Algeria,Milk - Excluding Butter,252
Algeria,Freshwater Fish,0
Algeria,Demersal Fish,0
Algeria,Pelagic Fish,7
Algeria,"Marine Fish, Other",1
Algeria,Crustaceans,0
Algeria,Cephalopods,0
Algeria,"Molluscs, Other",0
Algeria,"Aquatic Animals, Others",0
Algeria,Aquatic Plants,0
Algeria,Infant food,5
Algeria,Miscellaneous,2
Angola,Wheat and products,193
Angola,Rice and products,158
Angola,Barley and products,0
Angola,Maize and products,399
Angola,Oats,0
Angola,Millet and products,11
Angola,Sorghum and products,0
Angola,"Cereals, Other",0
Angola,Cassava and products,608
Angola,Potatoes and products,21
Angola,Sweet potatoes,104
Angola,"Roots, Other",0
Angola,Sugar (Raw Equivalent),120
Angola,"Sweeteners, Other",10
Angola,Honey,6
Angola,Beans,67
Angola,"Pulses, Other and products",7
Angola,Nuts and products,0
Angola,Soyabeans,3
Angola,Groundnuts,35
Angola,Rape and Mustardseed,0
Angola,Coconuts - Incl Copra,0
Angola,Sesame seed,1
Angola,Olives (including preserved),0
Angola,Soyabean Oil,68
Angola,Groundnut Oil,22
Angola,Sunflowerseed Oil,6
Angola,Rape and Mustard Oil,0
Angola,Cottonseed Oil,0
Angola,Palmkernel Oil,6
Angola,Palm Oil,168
Angola,Coconut Oil,0
Angola,Sesameseed Oil,0
Angola,Olive Oil,2
Angola,Maize Germ Oil,0
Angola,"Oilcrops Oil, Other",11
Angola,Tomatoes and products,1
Angola,Onions,1
Angola,"Vegetables, other",13
Angola,"Oranges, Mandarines",0
Angola,"Lemons, Limes and products",0
Angola,Grapefruit and products,0
Angola,"Citrus, Other",10
Angola,Bananas,72
Angola,Apples and products,0
Angola,Pineapples and products,15
Angola,Dates,0
Angola,Grapes and products (excl wine),0
Angola,"Fruits, other",6
Angola,Coffee and products,1
Angola,Cocoa Beans and products,1
Angola,Tea (including mate),0
Angola,Pepper,0
Angola,Pimento,0
Angola,Cloves,0
Angola,"Spices, Other",0
Angola,Wine,2
Angola,Beer,44
Angola,"Beverages, Fermented",23
Angola,"Beverages, Alcoholic",9
Angola,Bovine Meat,21
Angola,Mutton & Goat Meat,4
Angola,Pigmeat,77
Angola,Poultry Meat,33
Angola,"Meat, Other",1
Angola,"Offals, Edible",4
Angola,"Butter, Ghee",1
Angola,Cream,1
Angola,"Fats, Animals, Raw",9
Angola,"Fish, Body Oil",0
Angola,Eggs,0
Angola,Milk - Excluding Butter,12
Angola,Freshwater Fish,2
Angola,Demersal Fish,3
Angola,Pelagic Fish,17
Angola,"Marine Fish, Other",2
Angola,Crustaceans,0
Angola,Cephalopods,0
Angola,"Molluscs, Other",0
Angola,"Aquatic Animals, Others",0
Angola,Aquatic Plants,0
Angola,Infant food,1
Angola,Miscellaneous,2
Antigua and Barbuda,Wheat and products,585
Antigua and Barbuda,Rice and products,121
Antigua and Barbuda,Barley and products,0
