Area,Item,Value
Afghanistan,Pigmeat,0.01
Afghanistan,"Offals, Edible",1.16
Albania,Pigmeat,6.4
Albania,"Offals, Edible",5.31
Algeria,Pigmeat,0.02
Algeria,"Offals, Edible",1.51
Angola,Pigmeat,7.72
Angola,"Offals, Edible",1.46
Antigua and Barbuda,Pigmeat,6.31
Antigua and Barbuda,"Offals, Edible",2.64
Argentina,Pigmeat,14.49
Argentina,"Offals, Edible",9.88
Armenia,Pigmeat,8.96
Armenia,"Offals, Edible",6.3
Australia,Pigmeat,28.52
Australia,"Offals, Edible",8.97
Austria,Pigmeat,46.69
Austria,"Offals, Edible",4.05
Azerbaijan,Pigmeat,0.55
Azerbaijan,"Offals, Edible",4.67
Bahamas,Pigmeat,24.39
Bahamas,"Offals, Edible",2.39
Bahrain,Pigmeat,0.81
Bahrain,"Offals, Edible",4.12
Bangladesh,Pigmeat,0
Bangladesh,"Offals, Edible",0.56
Barbados,Pigmeat,9.09
Barbados,"Offals, Edible",2.22
Belarus,Pigmeat,38.25
Belarus,"Offals, Edible",8.21
Belgium,Pigmeat,31.61
Belgium,"Offals, Edible",8.58
Belize,Pigmeat,21.65
Belize,"Offals, Edible",0.77
Benin,Pigmeat,0.7
Benin,"Offals, Edible",0.85
Bhutan,Pigmeat,1.9
Bhutan,"Offals, Edible",1.25
Bolivia (Plurinational State of),Pigmeat,10.28
Bolivia (Plurinational State of),"Offals, Edible",4.56
Bosnia and Herzegovina,Pigmeat,9.76
Bosnia and Herzegovina,"Offals, Edible",2.04
Botswana,Pigmeat,0.49
Botswana,"Offals, Edible",3.25
Brazil,Pigmeat,14.35
Brazil,"Offals, Edible",4.29
Bulgaria,Pigmeat,31.61
Bulgaria,"Offals, Edible",4.91
Burkina Faso,Pigmeat,15.8
Burkina Faso,"Offals, Edible",3.06
Burundi,Pigmeat,0.85
Burundi,"Offals, Edible",0.43
Cabo Verde,Pigmeat,9.24
Cabo Verde,"Offals, Edible",1.48
Cambodia,Pigmeat,5.66
Cambodia,"Offals, Edible",1.05
Cameroon,Pigmeat,1.27
Cameroon,"Offals, Edible",0.86
Canada,Pigmeat,24.77
Canada,"Offals, Edible",0.66
Central African Republic,Pigmeat,4.82
Central African Republic,"Offals, Edible",3.45
Chad,Pigmeat,0.15
Chad,"Offals, Edible",7.22
Chile,Pigmeat,23.14
Chile,"Offals, Edible",0.55
China,Pigmeat,36.13
China,"Offals, Edible",3.73
"China, Hong Kong SAR",Pigmeat,50.16
"China, Hong Kong SAR","Offals, Edible",38.83
"China, Macao SAR",Pigmeat,50.28
"China, Macao SAR","Offals, Edible",2.79
"China, mainland",Pigmeat,36.01
