Area,Item,Value
Afghanistan,Wheat and products,158.95
Afghanistan,Rice and products,17.21
Afghanistan,Barley and products,0.07
Afghanistan,Maize and products,3.53
Afghanistan,Rye and products,0
Afghanistan,Oats,0
Afghanistan,Millet and products,0.16
Afghanistan,"Cereals, Other",0
Afghanistan,Cassava and products,0.01
Afghanistan,Potatoes and products,26.49
Afghanistan,Sweet potatoes,0
Afghanistan,"Roots, Other",0
Afghanistan,Sugar cane,0
Afghanistan,Sugar (Raw Equivalent),15.21
Afghanistan,"Sweeteners, Other",0.54
Afghanistan,Honey,0.05
Afghanistan,Beans,0
Afghanistan,Peas,0
Afghanistan,"Pulses, Other and products",1.81
Afghanistan,Nuts and products,1.44
Afghanistan,Soyabeans,0
Afghanistan,Groundnuts,1.03
Afghanistan,Rape and Mustardseed,0
Afghanistan,Coconuts - Incl Copra,0
Afghanistan,Sesame seed,0.31
Afghanistan,Olives (including preserved),0.08
Afghanistan,Soyabean Oil,0.27
Afghanistan,Groundnut Oil,0
Afghanistan,Sunflowerseed Oil,1.27
Afghanistan,Rape and Mustard Oil,0.05
Afghanistan,Cottonseed Oil,0.1
Afghanistan,Palmkernel Oil,0
Afghanistan,Palm Oil,4.46
Afghanistan,Coconut Oil,0.03
Afghanistan,Sesameseed Oil,0.03
Afghanistan,Olive Oil,0.02
Afghanistan,Ricebran Oil,0
Afghanistan,Maize Germ Oil,0.07
Afghanistan,"Oilcrops Oil, Other",0
Afghanistan,Tomatoes and products,0.89
Afghanistan,Onions,5.22
Afghanistan,"Vegetables, other",55.39
Afghanistan,"Oranges, Mandarines",3.63
Afghanistan,"Lemons, Limes and products",0.02
Afghanistan,Grapefruit and products,0.01
Afghanistan,"Citrus, Other",2.53
Afghanistan,Bananas,3.11
Afghanistan,Apples and products,2.95
Afghanistan,Pineapples and products,0.03
Afghanistan,Dates,0.45
Afghanistan,Grapes and products (excl wine),18.64
Afghanistan,"Fruits, other",6.99
Afghanistan,Coffee and products,0.01
Afghanistan,Cocoa Beans and products,0
Afghanistan,Tea (including mate),2
Afghanistan,Pepper,0
Afghanistan,Pimento,0.01
Afghanistan,Cloves,0
Afghanistan,"Spices, Other",0.12
Afghanistan,Bovine Meat,2.73
Afghanistan,Mutton & Goat Meat,3.43
Afghanistan,Poultry Meat,1.8
Afghanistan,"Meat, Other",0.31
