Domain Code,Domain,Area Code,Area,Element Code,Element,Item Code,Item,Year Code,Year,Unit,Value,Flag,Flag Description
"GPP","Emissions from pre and post agricultural production","3","Albania","723117","Energy Use (Coal)","6506","Food Packaging","2006","2006","TJ","13.78769","E","Estimated value"
"GPP","Emissions from pre and post agricultural production","3","Albania","723117","Energy Use (Coal)","6506","Food Packaging","2007","2007","TJ","36.750378","E","Estimated value"
"GPP","Emissions from pre and post agricultural production","3","Albania","723117","Energy Use (Coal)","6506","Food Packaging","2008","2008","TJ","55.159438","E","Estimated value"
"GPP","Emissions from pre and post agricultural production","3","Albania","723117","Energy Use (Coal)","6506","Food Packaging","2009","2009","TJ","79.960162","E","Estimated value"
"GPP","Emissions from pre and post agricultural production","3","Albania","723117","Energy Use (Coal)","6506","Food Packaging","2010","2010","TJ","99.950203","E","Estimated value"
"GPP","Emissions from pre and post agricultural production","3","Albania","723117","Energy Use (Coal)","6506","Food Packaging","2011","2011","TJ","103.869895","E","Estimated value"
"GPP","Emissions from pre and post agricultural production","3","Albania","723117","Energy Use (Coal)","6506","Food Packaging","2012","2012","TJ","115.63004","E","Estimated value"
"GPP","Emissions from pre and post agricultural production","3","Albania","723117","Energy Use (Coal)","6506","Food Packaging","2013","2013","TJ","127.810061","E","Estimated value"
"GPP","Emissions from pre and post agricultural production","3","Albania","723117","Energy Use (Coal)","6506","Food Packaging","2014","2014","TJ","156.268349","E","Estimated value"
"GPP","Emissions from pre and post agricultural production","3","Albania","723117","Energy Use (Coal)","6506","Food Packaging","2015","2015","TJ","185.175494","E","Estimated value"
"GPP","Emissions from pre and post agricultural production","3","Albania","723117","Energy Use (Coal)","6506","Food Packaging","2016","2016","TJ","10.648424","E","Estimated value"
"GPP","Emissions from pre and post agricultural production","3","Albania","723117","Energy Use (Coal)","6506","Food Packaging","2017","2017","TJ","63.890541","E","Estimated value"
"GPP","Emissions from pre and post agricultural production","3","Albania","723117","Energy Use (Coal)","6506","Food Packaging","2018","2018","TJ","247.290923","E","Estimated value"
"GPP","Emissions from pre and post agricultural production","3","Albania","723117","Energy Use (Coal)","6506","Food Packaging","2019","2019","TJ","79.761457","E","Estimated value"
"GPP","Emissions from pre and post agricultural production","3","Albania","723117","Energy Use (Coal)","6506","Food Packaging","2020","2020","TJ","322.922419","E","Estimated value"
"GPP","Emissions from pre and post agricultural production","3","Albania","723117","Energy Use (Coal)","6508","Food Retail","1998","1998","TJ","12.474","E","Estimated value"
"GPP","Emissions from pre and post agricultural production","3","Albania","723117","Energy Use (Coal)","6508","Food Retail","1999","1999","TJ","24.948","E","Estimated value"
"GPP","Emissions from pre and post agricultural production","3","Albania","723117","Energy Use (Coal)","6508","Food Retail","2000","2000","TJ","37.422","E","Estimated value"
"GPP","Emissions from pre and post agricultural production","3","Albania","723117","Energy Use (Coal)","6508","Food Retail","2001","2001","TJ","49.896","E","Estimated value"
"GPP","Emissions from pre and post agricultural production","3","Albania","723117","Energy Use (Coal)","6508","Food Retail","2002","2002","TJ","69.631353","E","Estimated value"
"GPP","Emissions from pre and post agricultural production","3","Albania","723117","Energy Use (Coal)","6508","Food Retail","2003","2003","TJ","89.366706","E","Estimated value"
"GPP","Emissions from pre and post agricultural production","3","Albania","723117","Energy Use (Coal)","6508","Food Retail","2004","2004","TJ","113.359059","E","Estimated value"
"GPP","Emissions from pre and post agricultural production","3","Albania","723117","Energy Use (Coal)","6508","Food Retail","2005","2005","TJ","137.351412","E","Estimated value"
"GPP","Emissions from pre and post agricultural production","3","Albania","723117","Energy Use (Coal)","6508","Food Retail","2006","2006","TJ","161.343765","E","Estimated value"
"GPP","Emissions from pre and post agricultural production","3","Albania","723117","Energy Use (Coal)","6508","Food Retail","2007","2007","TJ","192.150618","E","Estimated value"
"GPP","Emissions from pre and post agricultural production","3","Albania","723117","Energy Use (Coal)","6508","Food Retail","2008","2008","TJ","301.728471","E","Estimated value"
"GPP","Emissions from pre and post agricultural production","3","Albania","723117","Energy Use (Coal)","6508","Food Retail","2009","2009","TJ","149.236824","E","Estimated value"
"GPP","Emissions from pre and post agricultural production","3","Albania","723117","Energy Use (Coal)","6508","Food Retail","2010","2010","TJ","167.569677","E","Estimated value"
"GPP","Emissions from pre and post agricultural production","3","Albania","723117","Energy Use (Coal)","6508","Food Retail","2011","2011","TJ","154.48653","E","Estimated value"
"GPP","Emissions from pre and post agricultural production","3","Albania","723117","Energy Use (Coal)","6508","Food Retail","2012","2012","TJ","236.49648","E","Estimated value"
"GPP","Emissions from pre and post agricultural production","3","Albania","723117","Energy Use (Coal)","6508","Food Retail","2013","2013","TJ","235.99488","E","Estimated value"
"GPP","Emissions from pre and post agricultural production","3","Albania","723117","Energy Use (Coal)","6508","Food Retail","2014","2014","TJ","254.42868","E","Estimated value"
"GPP","Emissions from pre and post agricultural production","3","Albania","723117","Energy Use (Coal)","6508","Food Retail","2015","2015","TJ","289.048934","E","Estimated value"
"GPP","Emissions from pre and post agricultural production","3","Albania","723117","Energy Use (Coal)","6508","Food Retail","2016","2016","TJ","290.86721","E","Estimated value"
"GPP","Emissions from pre and post agricultural production","3","Albania","723117","Energy Use (Coal)","6508","Food Retail","2017","2017","TJ","262.710927","E","Estimated value"
"GPP","Emissions from pre and post agricultural production","3","Albania","723117","Energy Use (Coal)","6508","Food Retail","2018","2018","TJ","250.419723","E","Estimated value"
"GPP","Emissions from pre and post agricultural production","3","Albania","723117","Energy Use (Coal)","6508","Food Retail","2019","2019","TJ","279.184264","E","Estimated value"
"GPP","Emissions from pre and post agricultural production","3","Albania","723117","Energy Use (Coal)","6508","Food Retail","2020","2020","TJ","261.656175","E","Estimated value"
"GPP","Emissions from pre and post agricultural production","3","Albania","723117","Energy Use (Coal)","6505","Food Household Consumption","2005","2005","TJ","0.18576","E","Estimated value"
"GPP","Emissions from pre and post agricultural production","3","Albania","723117","Energy Use (Coal)","6505","Food Household Consumption","2006","2006","TJ","0.37152","E","Estimated value"
