Domain Code,Domain,Area Code,Area,Element Code,Element,Item Code,Item,Year Code,Year,Unit,Value,Flag,Flag Description
FBS,Food Balances (2010-),2,Afghanistan,511,Total Population - Both sexes,2501,Population,2010,2010,1000 No,29186,X,Figure from international organizations
FBS,Food Balances (2010-),2,Afghanistan,511,Total Population - Both sexes,2501,Population,2011,2011,1000 No,30117,X,Figure from international organizations
FBS,Food Balances (2010-),2,Afghanistan,511,Total Population - Both sexes,2501,Population,2012,2012,1000 No,31161,X,Figure from international organizations
FBS,Food Balances (2010-),2,Afghanistan,511,Total Population - Both sexes,2501,Population,2013,2013,1000 No,32270,X,Figure from international organizations
FBS,Food Balances (2010-),2,Afghanistan,511,Total Population - Both sexes,2501,Population,2014,2014,1000 No,33371,X,Figure from international organizations
FBS,Food Balances (2010-),2,Afghanistan,511,Total Population - Both sexes,2501,Population,2015,2015,1000 No,34414,X,Figure from international organizations
FBS,Food Balances (2010-),2,Afghanistan,511,Total Population - Both sexes,2501,Population,2016,2016,1000 No,35383,X,Figure from international organizations
FBS,Food Balances (2010-),2,Afghanistan,511,Total Population - Both sexes,2501,Population,2017,2017,1000 No,36296,X,Figure from international organizations
FBS,Food Balances (2010-),2,Afghanistan,511,Total Population - Both sexes,2501,Population,2018,2018,1000 No,37172,X,Figure from international organizations
FBS,Food Balances (2010-),2,Afghanistan,511,Total Population - Both sexes,2501,Population,2019,2019,1000 No,38041.75,X,Figure from international organizations
FBS,Food Balances (2010-),2,Afghanistan,511,Total Population - Both sexes,2501,Population,2020,2020,1000 No,38928.35,X,Figure from international organizations
FBS,Food Balances (2010-),2,Afghanistan,5301,Domestic supply quantity,2501,Population,2010,2010,1000 t,0,I,Imputed value
FBS,Food Balances (2010-),2,Afghanistan,5301,Domestic supply quantity,2501,Population,2011,2011,1000 t,0,I,Imputed value
FBS,Food Balances (2010-),2,Afghanistan,5301,Domestic supply quantity,2501,Population,2012,2012,1000 t,0,I,Imputed value
FBS,Food Balances (2010-),2,Afghanistan,5301,Domestic supply quantity,2501,Population,2013,2013,1000 t,0,I,Imputed value
FBS,Food Balances (2010-),2,Afghanistan,5301,Domestic supply quantity,2501,Population,2014,2014,1000 t,0,I,Imputed value
FBS,Food Balances (2010-),2,Afghanistan,5301,Domestic supply quantity,2501,Population,2015,2015,1000 t,0,I,Imputed value
FBS,Food Balances (2010-),2,Afghanistan,5301,Domestic supply quantity,2501,Population,2016,2016,1000 t,0,I,Imputed value
FBS,Food Balances (2010-),2,Afghanistan,5301,Domestic supply quantity,2501,Population,2017,2017,1000 t,0,I,Imputed value
FBS,Food Balances (2010-),2,Afghanistan,5301,Domestic supply quantity,2501,Population,2018,2018,1000 t,0,I,Imputed value
FBS,Food Balances (2010-),2,Afghanistan,5301,Domestic supply quantity,2501,Population,2019,2019,1000 t,0,I,Imputed value
FBS,Food Balances (2010-),2,Afghanistan,5301,Domestic supply quantity,2501,Population,2020,2020,1000 t,0,I,Imputed value
FBS,Food Balances (2010-),3,Albania,511,Total Population - Both sexes,2501,Population,2010,2010,1000 No,2948,X,Figure from international organizations
FBS,Food Balances (2010-),3,Albania,511,Total Population - Both sexes,2501,Population,2011,2011,1000 No,2929,X,Figure from international organizations
FBS,Food Balances (2010-),3,Albania,511,Total Population - Both sexes,2501,Population,2012,2012,1000 No,2914,X,Figure from international organizations
FBS,Food Balances (2010-),3,Albania,511,Total Population - Both sexes,2501,Population,2013,2013,1000 No,2904,X,Figure from international organizations
FBS,Food Balances (2010-),3,Albania,511,Total Population - Both sexes,2501,Population,2014,2014,1000 No,2896,X,Figure from international organizations
FBS,Food Balances (2010-),3,Albania,511,Total Population - Both sexes,2501,Population,2015,2015,1000 No,2891,X,Figure from international organizations
FBS,Food Balances (2010-),3,Albania,511,Total Population - Both sexes,2501,Population,2016,2016,1000 No,2886,X,Figure from international organizations
FBS,Food Balances (2010-),3,Albania,511,Total Population - Both sexes,2501,Population,2017,2017,1000 No,2884,X,Figure from international organizations
FBS,Food Balances (2010-),3,Albania,511,Total Population - Both sexes,2501,Population,2018,2018,1000 No,2883,X,Figure from international organizations
FBS,Food Balances (2010-),3,Albania,511,Total Population - Both sexes,2501,Population,2019,2019,1000 No,2880.92,X,Figure from international organizations
FBS,Food Balances (2010-),3,Albania,511,Total Population - Both sexes,2501,Population,2020,2020,1000 No,2877.8,X,Figure from international organizations
FBS,Food Balances (2010-),3,Albania,5301,Domestic supply quantity,2501,Population,2010,2010,1000 t,0,I,Imputed value
FBS,Food Balances (2010-),3,Albania,5301,Domestic supply quantity,2501,Population,2011,2011,1000 t,0,I,Imputed value
FBS,Food Balances (2010-),3,Albania,5301,Domestic supply quantity,2501,Population,2012,2012,1000 t,0,I,Imputed value
FBS,Food Balances (2010-),3,Albania,5301,Domestic supply quantity,2501,Population,2013,2013,1000 t,0,I,Imputed value
FBS,Food Balances (2010-),3,Albania,5301,Domestic supply quantity,2501,Population,2014,2014,1000 t,0,I,Imputed value
FBS,Food Balances (2010-),3,Albania,5301,Domestic supply quantity,2501,Population,2015,2015,1000 t,0,I,Imputed value
FBS,Food Balances (2010-),3,Albania,5301,Domestic supply quantity,2501,Population,2016,2016,1000 t,0,I,Imputed value
FBS,Food Balances (2010-),3,Albania,5301,Domestic supply quantity,2501,Population,2017,2017,1000 t,0,I,Imputed value
FBS,Food Balances (2010-),3,Albania,5301,Domestic supply quantity,2501,Population,2018,2018,1000 t,0,I,Imputed value
FBS,Food Balances (2010-),3,Albania,5301,Domestic supply quantity,2501,Population,2019,2019,1000 t,0,I,Imputed value
FBS,Food Balances (2010-),3,Albania,5301,Domestic supply quantity,2501,Population,2020,2020,1000 t,0,I,Imputed value
FBS,Food Balances (2010-),4,Algeria,511,Total Population - Both sexes,2501,Population,2010,2010,1000 No,35977,X,Figure from international organizations
FBS,Food Balances (2010-),4,Algeria,511,Total Population - Both sexes,2501,Population,2011,2011,1000 No,36661,X,Figure from international organizations
FBS,Food Balances (2010-),4,Algeria,511,Total Population - Both sexes,2501,Population,2012,2012,1000 No,37384,X,Figure from international organizations
FBS,Food Balances (2010-),4,Algeria,511,Total Population - Both sexes,2501,Population,2013,2013,1000 No,38140,X,Figure from international organizations
FBS,Food Balances (2010-),4,Algeria,511,Total Population - Both sexes,2501,Population,2014,2014,1000 No,38924,X,Figure from international organizations
FBS,Food Balances (2010-),4,Algeria,511,Total Population - Both sexes,2501,Population,2015,2015,1000 No,39728,X,Figure from international organizations
FBS,Food Balances (2010-),4,Algeria,511,Total Population - Both sexes,2501,Population,2016,2016,1000 No,40551,X,Figure from international organizations
FBS,Food Balances (2010-),4,Algeria,511,Total Population - Both sexes,2501,Population,2017,2017,1000 No,41389,X,Figure from international organizations
FBS,Food Balances (2010-),4,Algeria,511,Total Population - Both sexes,2501,Population,2018,2018,1000 No,42228,X,Figure from international organizations
FBS,Food Balances (2010-),4,Algeria,511,Total Population - Both sexes,2501,Population,2019,2019,1000 No,43053.05,X,Figure from international organizations
FBS,Food Balances (2010-),4,Algeria,511,Total Population - Both sexes,2501,Population,2020,2020,1000 No,43851.04,X,Figure from international organizations
FBS,Food Balances (2010-),4,Algeria,5301,Domestic supply quantity,2501,Population,2010,2010,1000 t,0,I,Imputed value
FBS,Food Balances (2010-),4,Algeria,5301,Domestic supply quantity,2501,Population,2011,2011,1000 t,0,I,Imputed value
FBS,Food Balances (2010-),4,Algeria,5301,Domestic supply quantity,2501,Population,2012,2012,1000 t,0,I,Imputed value
FBS,Food Balances (2010-),4,Algeria,5301,Domestic supply quantity,2501,Population,2013,2013,1000 t,0,I,Imputed value
FBS,Food Balances (2010-),4,Algeria,5301,Domestic supply quantity,2501,Population,2014,2014,1000 t,0,I,Imputed value
