"ref_area.label","indicator.label","source.label","sex.label","classif1.label","classif2.label","time","obs_value","obs_status.label","note_source.label"
"Afghanistan","Children in employment by sex, age and economic activity (thousands)","HIES - Households Living Conditions Survey","Sex: Total","Age (Child labour bands): '5-17","Economic activity (Broad sector): Total","2014",3261.161,,"Repository: ILO-STATISTICS - Micro data processing"
"Afghanistan","Children in employment by sex, age and economic activity (thousands)","HIES - Households Living Conditions Survey","Sex: Total","Age (Child labour bands): '5-17","Economic activity (Broad sector): Agriculture","2014",380.369,,"Repository: ILO-STATISTICS - Micro data processing"
"Afghanistan","Children in employment by sex, age and economic activity (thousands)","HIES - Households Living Conditions Survey","Sex: Total","Age (Child labour bands): '5-17","Economic activity (Broad sector): Industry","2014",130.488,,"Repository: ILO-STATISTICS - Micro data processing"
"Afghanistan","Children in employment by sex, age and economic activity (thousands)","HIES - Households Living Conditions Survey","Sex: Total","Age (Child labour bands): '5-17","Economic activity (Broad sector): Services","2014",84.046,,"Repository: ILO-STATISTICS - Micro data processing"
"Afghanistan","Children in employment by sex, age and economic activity (thousands)","HIES - Households Living Conditions Survey","Sex: Total","Age (Child labour bands): '5-17","Economic activity (Broad sector): Not classified","2014",2666.258,,"Repository: ILO-STATISTICS - Micro data processing"
"Afghanistan","Children in employment by sex, age and economic activity (thousands)","HIES - Households Living Conditions Survey","Sex: Total","Age (Child labour bands): '5-11","Economic activity (Broad sector): Total","2014",1254.495,,"Repository: ILO-STATISTICS - Micro data processing"
"Afghanistan","Children in employment by sex, age and economic activity (thousands)","HIES - Households Living Conditions Survey","Sex: Total","Age (Child labour bands): '5-11","Economic activity (Broad sector): Not classified","2014",1254.495,,"Repository: ILO-STATISTICS - Micro data processing"
"Afghanistan","Children in employment by sex, age and economic activity (thousands)","HIES - Households Living Conditions Survey","Sex: Total","Age (Child labour bands): 12-14","Economic activity (Broad sector): Total","2014",1051.975,,"Repository: ILO-STATISTICS - Micro data processing"
"Afghanistan","Children in employment by sex, age and economic activity (thousands)","HIES - Households Living Conditions Survey","Sex: Total","Age (Child labour bands): 12-14","Economic activity (Broad sector): Agriculture","2014",96.433,,"Repository: ILO-STATISTICS - Micro data processing"
"Afghanistan","Children in employment by sex, age and economic activity (thousands)","HIES - Households Living Conditions Survey","Sex: Total","Age (Child labour bands): 12-14","Economic activity (Broad sector): Industry","2014",21.289,,"Repository: ILO-STATISTICS - Micro data processing"
"Afghanistan","Children in employment by sex, age and economic activity (thousands)","HIES - Households Living Conditions Survey","Sex: Total","Age (Child labour bands): 12-14","Economic activity (Broad sector): Services","2014",14.221,,"Repository: ILO-STATISTICS - Micro data processing"
"Afghanistan","Children in employment by sex, age and economic activity (thousands)","HIES - Households Living Conditions Survey","Sex: Total","Age (Child labour bands): 12-14","Economic activity (Broad sector): Not classified","2014",920.032,,"Repository: ILO-STATISTICS - Micro data processing"
"Afghanistan","Children in employment by sex, age and economic activity (thousands)","HIES - Households Living Conditions Survey","Sex: Total","Age (Child labour bands): 15-17","Economic activity (Broad sector): Total","2014",954.691,,"Repository: ILO-STATISTICS - Micro data processing"
"Afghanistan","Children in employment by sex, age and economic activity (thousands)","HIES - Households Living Conditions Survey","Sex: Total","Age (Child labour bands): 15-17","Economic activity (Broad sector): Agriculture","2014",283.936,,"Repository: ILO-STATISTICS - Micro data processing"
"Afghanistan","Children in employment by sex, age and economic activity (thousands)","HIES - Households Living Conditions Survey","Sex: Total","Age (Child labour bands): 15-17","Economic activity (Broad sector): Industry","2014",109.199,,"Repository: ILO-STATISTICS - Micro data processing"
"Afghanistan","Children in employment by sex, age and economic activity (thousands)","HIES - Households Living Conditions Survey","Sex: Total","Age (Child labour bands): 15-17","Economic activity (Broad sector): Services","2014",69.825,,"Repository: ILO-STATISTICS - Micro data processing"
"Afghanistan","Children in employment by sex, age and economic activity (thousands)","HIES - Households Living Conditions Survey","Sex: Total","Age (Child labour bands): 15-17","Economic activity (Broad sector): Not classified","2014",491.731,,"Repository: ILO-STATISTICS - Micro data processing"
"Afghanistan","Children in employment by sex, age and economic activity (thousands)","HIES - Households Living Conditions Survey","Sex: Male","Age (Child labour bands): '5-17","Economic activity (Broad sector): Total","2014",2066.075,,"Repository: ILO-STATISTICS - Micro data processing"
"Afghanistan","Children in employment by sex, age and economic activity (thousands)","HIES - Households Living Conditions Survey","Sex: Male","Age (Child labour bands): '5-17","Economic activity (Broad sector): Agriculture","2014",271.784,,"Repository: ILO-STATISTICS - Micro data processing"
"Afghanistan","Children in employment by sex, age and economic activity (thousands)","HIES - Households Living Conditions Survey","Sex: Male","Age (Child labour bands): '5-17","Economic activity (Broad sector): Industry","2014",72.019,,"Repository: ILO-STATISTICS - Micro data processing"
"Afghanistan","Children in employment by sex, age and economic activity (thousands)","HIES - Households Living Conditions Survey","Sex: Male","Age (Child labour bands): '5-17","Economic activity (Broad sector): Services","2014",79.093,,"Repository: ILO-STATISTICS - Micro data processing"
