Last updated:,,9/2/2015,,,,,,Notes:,Click an arrow on any column to sort the results. Clicking A-->Z will sort from smallest to largest score and Z-->A will sort largest to smallest,,,,,The sum of practice indicator results are in columns EA-EC,"Practice indicator scores are NOT included in the Guideline averages. In other words, Column P is an average of columns J-M and does not include columns N-O.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Practice Indicators,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Country,Region,Income level,Income level normalized (5=High Income:OECD; 1=Low income),Aarhus,OGP,Federal/unitary,1.1,1.2,1.3,1.4,1.5,1.6,Guideline 1--Accessibility of Information Requests,2.1,2.2,2.3,2.4,P2.1,P2.2,Guideline 2--Environmental Information in the public domain,3.1,3.2,3.3,Guideline 3--Grounds for Refusal,4.1,4.2,4.3,P4.1,Guideline 4: Information collection and management,5.1,5.2,5.3,5.4,P5.1,Guideline 5--State of the Environment Report,6.1,Guideline 6--Early Warning Information,Access to Info Score,8.1,8.2,8.3,P8.1,Guideline 8--Early Public Participation,9.1,9.2,Guideline 9--Proactive Public Consultation,10.1,10.2,10.3,P10.1,P10.2,P10.3,P10.4,P10.5,Guideline 10--Informed Participation,11.1,11.2,P11.1,Guideline 11--Due Account of Public Comments,12.1,Guideline 12--Public Participation Review,13.1,13.2,13.3,13.4,Guideline 13--Integrating public input for rule-making,Participation Pillar Score,15.1,15.2,15.3,P15.1,Guideline 15--Information Request Appeals,16.1,16.2,16.3,P16.1,Guideline 16--Public Participation Appeals,17.1,17.2,17.3,17.4,P17.1,P17.2,Guideline 17--Right of Public to challenge State or Private Actors,18.1,P18.1,Guideline 18--Broad Standing,19.1,19.2,19.3,19.4,19.5,P19.1,"Guideline 19--Fair, timely, and independent review",20.1,20.2,20.3,20.4,P20.1,P20.2,P20.3,Guideline 20--Affordable Access to relief and remedy,21.1,21.2,21.3,21.4,21.5,21.6,P21.1,"Guideline 21--Prompt, effective remedies",22.1,22.2,22.3,22.4,22.5,22.6,Guideline 22--Effective enforcement,23.1,23.2,P23.1,Guideline 23--Awareness and education about remedies and relief,24.1,24.2,24.3,P24.1,Guideline 24--Public Access to Judicial and Administrative decisions,26.1,26.2,P26.1,Guideline 26--Alternative Dispute Resolution for Environmental Issues,Justice Pillar Score,Overall Score,YES (practice),LIMITED (practice),NO (practice),Yes and Limted Combined,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Country,,,,Progress,,,To what extent does the law mandate access to environmental information to be provided upon request?,To what extent does the law provide for natural or legal persons' access to environmental information?,To what extent does the law make access to environmental information affordable?,To what extent does the law provide for timely access to environmental information?,To what extent does the law include public authorities under access to environmental information provisions?,To what extent does the law not require proof of legal or other interest for access to environmental information?,,To what extent does the law require information on environmental quality to be made proactively available to the public?,To what extent does the law require environmental information on environmental factors that influence health be placed in the public domain?,To what extent does the law require information on environmental laws and policy be placed in the public domain?,To what extent does the law require publicly available information and advice on how to obtain environmental information?,Are real time air quality data for the capital city of your country made available online by the government?,"In the last two years, has annual drinking water quality data for water services in your capital city been proactively provided to consumers either by mail (post) or online and do they meet the minimum standards established by the regulatory agency?",,To what extent does the law clearly define specific grounds on which a request for environmental information can be refused?,To what extent does the law require environmental information that is covered by a ground for refusal to be severed (separated) from the rest of the information before being released to the requester?,To what extent does the law require the decision-maker to take into account the public interest served by disclosure when considering exemptions (grounds for refusal)?,,To what extent are competent public authorities mandated by law to regularly collect and update relevant environmental information?,"To what extent does the law mandate the public authorities to comprehensively monitor the environmental performance and compliance by operators of activities potentially affecting the environment, and to collect and update such information?",To what extent is there a system established by the law ensuring adequate public information about proposed and existing activities that may significantly affect the environment?,"Does a national agency in your country ensure that daily air emission and waste water discharges by large-scale industries at a facility level are proactively made publicly available either online, through a public register or at a library; if so, is that information comparable to a national standard?",,To what extent does the law mandate the government to publish reports on the state of the environment (i.e. a State of the Environment report)?,To what extent does the law require the publication of a State of the Environment report to be periodic at reasonable intervals?,Does the law require the report to be comprehensive in the information that it provides?,To what extent does the law require the report to contain up-to date information?,In the last 10 years has a national government agency regularly published State of the Environment Reports? (Regular is at fixed intervals of five years or less),,"When there is an imminent threat of harm to human health or the environment, to what extent does the law obligate or mandate the government agencies to immediately disseminate information to the public that enables it to take preventive action?",,,To what extent does the law require the public concerned to have opportunities to participate in decision making related to the environment?,To what extent does the law require public participation opportunities to be provided early in the decision-making process?,To what extent does the law require that the public concerned be provided with information about its opportunities to participate early in the decision-making process?,Choose three recent controversial development projects (in terms of press coverage and potential cost and/or revenue of project) that were approved through an Environmental Impact Assessment (EIA) process under national law. Were public notices given seeking comments on the EIA or its terms of reference?,,"To what extent do the laws concerning environmental impact assessments, pollution control permits, forest concessions, extractive industries,  biodiversity and terrestrial protected areas, and environmental policy-making obligate the State or state agencies at the national level to proactively seek public participation?","To what extent do the laws concerning: environmental impact assessments, pollution control permits, forest concessions, extractive industries,  biodiversity and terrestrial protected areas, and environmental policy-making obligate the State or State agencies at  the national level to give members of the public concerned an adequate opportunity to express their views?",,"To what extent do the laws concerning: environmental impact assessments, pollution control permits, forest concessions, extractive industries, protected areas and terrestrial biodiversity, and environmental policy-making require all information relevant to decision-making processes relating to the environment to be made available to the public concerned, without the public having to make an official information request?","To what extent do the laws concerning environmental impact assessments, pollution control permits, forest concessions, extractive industries, protected areas and terrestrial biodiversity, and environmental policy-making require that proactively released information relevant to decision-making be understandable to the public concerned?","To what extent do the laws concerning environmental impact assessments, pollution control permits, forest concessions, extractive industries, biodiversity and terrestrial protected areas, and environmental policy-making require the information relevant to decision-making to be provided in a timely fashion to the public concerned?",Are the Environmental Impact Assessments for development projects accessible to the public online or at a national government agency?,Is information on wastewater discharge and air emission permit violations available to the public online or at a government agency?,Are extractive industry licenses/permits available to the public online or at a government agency?,"During the past three years, in the process of granting forest use contracts, has the relevant agency made publicly available information related to such contracts?","Are the forest use contracts, once finalized, made available to the public online or at a government agency?",,"To what extent do the laws concerning environmental impact assessments, pollution control standards and permits, forest concessions, extractive industries, biodiversity and terrestrial protected areas, and environmental policy-making require the State or State agencies at the national level to take due account of the public’s comments in decision-making relating to the environment?","To what extent do the laws concerning environmental impact assessments, pollution control standards and permits, forest concessions, extractive industries, biodiversity and terrestrial protected areas, and environmental policy-making require that decisions relating to the environment are made public?","In the three most recent large-scale extractive or development projects, did the relevant  agency respond to public comments on the environmental impact assessment and make the responses available to the public?",,"To what extent do the laws concerning: environmental impact assessments, pollution control standards and permits, forest concessions, extractive industries, biodiversity and terrestrial protected areas, and environmental policy-making require the State or state agencies to provide for a public review process for decisions relating to the environment if previously unconsidered environmental impacts become apparent?",,"To what extent does the  law require opportunities for public input at an appropriate stage during preparation of legally binding rules (rule-making or preparation of subsidiary legislation, regulations, etc.) that might have a significant effect on the environment?","To what extent do the laws concerning environmental impact assessments, pollution control standards and permits, forest concessions, extractive industries, protected areas and terrestrial biodiversity, and environmental policy-making require the State or state agencies to provide opportunities for public input at an appropriate stage of the preparation of policies?","To what extent do the laws concerning environmental impact assessments, pollution control standards and permits, forest concessions, extractive industries, protected areas and terrestrial biodiversity, and environmental policy-making require there to be opportunities for public input at an appropriate stage of the preparation of plans relating to the environment?",To what extent does the law require there to be opportunities for public input at an appropriate stage of the preparation of programs relating to the environment?,,,"To what extent do the laws concerning environmental impact assessments, pollution control standards and permits, forest concessions, extractive industries, protected areas and terrestrial biodiversity, and environmental policy-making provide for access to a review procedure in cases where environmental information request have been denied?",To what extent does the law make the review available to all natural or legal persons?,To what extent does the law provide access to a review procedure before a court of law or other independent and impartial body in cases when an environmental information request has been denied?,"Is there a court, tribunal or other independent or impartial body at the national level with a physical office to receive and process public complaints about the refusal of environmental information? 
    information?",,"To what extent does the law entitle members of the public concerned to challenge the substantive legality of any decision, act or omission relating to decision-making in environmental matters which is subject to public participation?","To what extent does the law entitle members of the public concerned to challenge the procedural legality of any decision, act or omission relating to decision-making in environmental matters subject to public participation?",To what extent does the law require that a court of law or other independent and impartial body hear challenges to substantive and/or procedural legality?,"In the last 5 years, have public interest environmental or natural resource cases been filed before a court, tribunal or other body? If court records are not public information, check media reports.",,"To what extent does the law give rights to the public concerned to challenge any decision, act or omission by public authorities that allegedly violates the procedural legal norms of the state relating to the environment?","To what extent does the law give rights to the public concerned to challenge any decision, act or omission by private actors that allegedly violates the substantive legal norms of the state relating to the environment?","To what extent does the law give rights to the public concerned to challenge any decision, act or omission by private actors that allegedly violates the procedural legal norms of the State relating to the environment?",To what extent does the law require the challenges referred to in indicators 1-3 to be heard by an independent and impartial body?,Have there been cases in the last 5 years when civil society filed a lawsuit against a polluter in a national court?,"Have there been cases in the last 5 years when civil society filed a lawsuit in a national court challenging a government decision, policy, or rule affecting the environment?",,To what extent does the law recognize broad legal standing in proceedings concerned with environmental matters?,"In the last 5 years, have NGOs been granted legal standing by national courts in public interest environmental cases?",,"To what extent does the law provide procedures for the review of issues relating to the implementation and enforcement of laws and decisions pertaining to the environment by courts or other bodies, or administrative procedures?",To what extent does the law require review procedures regarding the implementation and enforcement of laws and decisions pertaining to the environment to be decided by impartial and independent courts or bodies?,To what extent does the law require review procedures regarding the implementation and enforcement of laws and decisions pertaining to the environment to be timely?,To what extent does the law require review procedures regarding the implementation and enforcement of laws and decisions pertaining to the environment to be fair and equitable?,To what extent does the law require review procedures regarding the implementation and enforcement of laws and decisions pertaining to the environment to be open and transparent?,"In the last 5 years have there been sanctions or corrective actions imposed by a national court of law or other independent and impartial body, for violation of laws and decisions pertaining to the environment?",,To what extent are there legal mechanisms in place to ensure that access to review procedures relating to the environment for members of the public concerned is not prohibitively expensive?,To what extent does the law provide assistance mechanisms to reduce financial barriers to access to justice?,To what extent does the law provide assistance mechanisms to reduce gender-related non-financial barriers to access to justice?,To what extent does the law provide assistance mechanisms to reduce other non-financial and non-gender barriers to access to justice?,"In the last 5 years, has a public interest case relating to the environment or natural resources been filed which was supported by government legal aid?","In the last 10 years, have there been cases relating to the environment or natural resources where the costs of proceedings was awarded against a public interest complainant/plaintiff/petitioner (c/p/p)?",In the last 5 years have there been cases related to the environment or natural resources where the costs of proceedings were awarded in favor of a public interest complainant/plaintiff/petitioner (c/p/p)?,,To what extent does the law require adequate and effective remedies in cases relating to the environment?,To what extent does the law require remedies in cases relating to the environment to be provided promptly?,To what extent is interim and/or final injunctive relief available under the law?,To what extent is compensation available as a remedy under the law?,To what extent is restitution available as a remedy under the law?,To what extent is restoration of the environment available as a remedy under the law?,"In the last 5 years, have there been injunctions/stay orders/interdicts issued by a court, tribunal or other judicial body in environmental or natural resource cases?",,To what extent does the law provide for the effective enforcement of criminal court decisions relating to the environment?,To what extent does the law require the enforcement of criminal court decisions relating to the environment to be timely?,To what extent does the law provide for the effective enforcement of civil court decisions relating to the environment?,To what extent does the law require the enforcement of civil court decisions relating to the environment to be timely?,To what extent does the law provide for effective enforcement of decisions relating to the environment taken by administrative and other relevant bodies?,To what extent does the law ensure the enforcement of administrative decisions relating to the environment will be timely?,,To what extent does the law require the State or State agencies or institutions to provide information to the public about court procedures relating to environmental issues?,To what extent does the law require the State or State agencies or institutions to provide information to the public about review procedures relating to environmental issues provided by bodies other than courts of law?,Is there an easily understandable explanation of court procedures in the national language(s) on the website or office of the highest national court or the apex national environmental agency?,,To what extent does the law require judicial decisions relating to the environment to be made publicly available?,To what extent does the law require decisions relating to the environment taken by administrative bodies to be made publicly available?,To what extent does the law require decisions relating to the environment taken by other independent and impartial bodies to be made publicly available?,"Are the decisions of the last three environmental or natural resource cases decided by a national court, tribunal or other judicial body available to the public online or at the office of that court, tribunal or body?",,"To what extent does the law provide for the possibility to use alternative dispute resolution mechanisms to address violations of the right of access to environmental information, public participation or cases of environmental harm?",To what extent does the law provide incentives for the use of alternative dispute resolution mechanisms where these are appropriate?,"In the last 5 years, has a public interest case relating to the environment or natural resources been solved by an alternate conflict resolution method (such as mediation, arbitration and conciliation)?",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lithuania,Europe,High income: OECD,5,Aarhus,OGP,Unitary,3,3,2,3,3,2,2.67,3,3,3,3,2,2,3,2,3,3,2.67,3,3,3,1,3.00,3,2,3,3,2,2.75,2,2,2.68,2,2,2,2,2.00,2,2,2,3,0,3,2,2,2,0,0,2.00,2,3,2,2.5,1,1,3,3,3,3,3,2.08,3,3,3,2,3.00,3,3,3,2,3.00,2,2,2,3,2,2,2.25,3,2,3,3,3,3,3,3,2,3,2,2,0,1,0,0,0,1.25,3,3,3,3,3,3,2,3.00,3,3,3,3,3,3,3.00,1,1,1,1,3,3,3,2,3.00,1,1,0,1,2.41,2.39,16,2,6,18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Latvia,Europe,High income: OECD,5,Aarhus,OGP,Unitary,3,3,2,3,3,2,2.67,2,2,3,3,2,2,2.5,3,3,3,3.00,3,2,2,1,2.33,3,2,3,3,2,2.75,3,3,2.71,2,2,2,2,2.00,2,2,2,2,1,2,2,1,2,1,1,1.67,2,3,2,2.5,1,1,3,3,2,2,2.5,1.94,3,3,3,2,3.00,3,3,3,2,3.00,2,2,2,3,2,2,2.25,2,2,2,2,3,1,3,3,2,2.4,3,2,0,2,1,1,1,1.75,2,2,3,2,1,3,1,2.17,3,2,3,3,3,2,2.67,2,2,2,2,3,3,2,2,2.67,1,1,0,1,2.26,2.31,15,8,1,23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
United States,North America,High income: OECD,5,,OGP,Federal,3,3,2,3,3,3,2.83,3,3,3,3,2,2,3,3,3,1,2.33,3,3,3,2,3.00,0,0,0,0,1,0,3,3,2.36,3,3,1,2,2.33,1,2,1.5,2,1,2,2,2,2,1,1,1.67,2,3,2,2.5,2,2,3,2,3,2,2.5,2.08,3,3,3,2,3.00,3,3,3,2,3.00,3,2,0,3,2,2,2,1,2,1,2,3,0,3,2,2,2,1,0,0,1,0,2,2,0.5,3,1,3,2,0,2,2,1.83,3,2,3,2,3,2,2.50,2,3,2,2.5,3,3,2,2,2.67,2,1,2,1.5,2.05,2.16,20,3,1,23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
South Africa,Africa,Upper middle income,3,,OGP,Unitary,3,3,2,3,3,2,2.67,2,2,3,3,1,2,2.5,3,3,2,2.67,3,3,1,0,2.33,2,0,0,0,1,0.5,3,3,2.28,3,2,2,2,2.33,3,2,2.5,2,1,2,1,1,1,1,0,1.67,2,2,1,2,2,2,3,2,2,2,2.25,2.13,3,3,3,2,3.00,3,3,3,2,3.00,3,2,2,3,0,2,2.5,3,2,3,3,3,1,2,2,2,2.2,1,1,0,0,0,1,2,0.5,3,3,2,3,3,3,2,2.83,3,0,2,0,0,0,0.83,1,1,1,1,2,2,2,2,2.00,3,1,0,2,2.08,2.16,10,9,5,19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
United Kingdom,Europe,High income: OECD,5,Aarhus,OGP,Unitary,3,3,1,3,3,3,2.67,3,2,3,3,2,2,2.75,3,3,3,3.00,2,3,3,1,2.67,3,2,1,3,2,2.25,0,0,2.22,3,3,3,2,3.00,2,2,2,3,1,3,2,1,2,2,2,2.33,3,3,2,3,1,1,0,1,3,3,1.75,2.18,3,3,3,2,3.00,2,2,3,2,2.33,2,3,3,3,2,2,2.75,2,2,2,3,3,2,2,3,2,2.6,1,1,1,0,0,2,2,0.75,2,2,1,2,1,1,0,1.50,3,2,3,0,3,2,2.17,2,1,2,1.5,2,2,1,2,1.67,3,1,0,2,2.02,2.14,19,2,3,21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hungary,Europe,Upper middle income,3,Aarhus,OGP,Unitary,3,3,1,3,2,2,2.33,3,1,3,3,2,2,2.5,1,2,3,2.00,3,2,2,1,2.33,3,3,3,1,2,2.5,3,3,2.44,2,2,2,2,2.00,1,2,1.5,1,1,1,1,0,2,1,0,1.00,2,1,1,1.5,2,2,3,2,3,3,2.75,1.79,3,3,3,2,3.00,2,2,3,2,2.33,2,1,2,3,2,2,2,2,2,2,2,2,2,2,1,2,1.8,1,1,0,2,1,2,2,1,2,1,1,2,1,2,2,1.50,2,2,2,2,2,3,2.17,2,2,1,2,3,3,3,2,3.00,3,2,0,2.5,2.12,2.12,15,6,3,21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bulgaria,Europe,Upper middle income,3,Aarhus,OGP,Unitary,3,3,2,3,3,3,2.83,3,3,3,3,1,1,3,3,3,3,3.00,3,3,3,1,3.00,3,3,2,0,2,2,3,3,2.81,2,2,2,1,2.00,2,2,2,2,1,2,2,1,0,1,1,1.67,2,2,1,2,0,0,3,3,3,3,3,1.78,3,3,2,2,2.67,3,3,2,2,2.67,2,1,1,2,0,2,1.5,1,2,1,2,2,1,2,3,1,2,1,1,1,0,0,1,2,0.75,2,2,1,2,2,2,1,1.83,2,2,3,2,2,2,2.17,0,0,0,0,3,3,2,2,2.67,2,1,0,1.5,1.70,2.10,8,11,5,19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Russia,Europe,High income: nonOECD,4,,,Federal,2,2,1,2,3,2,2.00,3,2,3,3,2,2,2.75,2,0,0,0.67,3,3,1,2,2.33,3,3,3,3,2,3,3,3,2.29,1,1,1,2,1.00,1,1,1,2,1,2,1,1,1,0,1,1.67,1,1,2,1,3,3,2,3,3,3,2.75,1.74,3,2,2,2,2.33,3,3,2,2,2.67,3,3,3,2,2,2,2.75,2,2,2,3,2,3,2,3,2,2.6,2,1,0,1,0,0,0,1,3,2,3,3,3,3,2,2.83,3,3,3,2,3,2,2.67,2,2,2,2,3,2,3,2,2.67,0,0,0,0,2.14,2.06,15,4,5,19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Panama,LAC,Upper middle income,3,,OGP,Unitary,3,3,2,3,3,2,2.67,3,3,3,3,0,0,3,3,3,0,2.00,1,2,2,1,1.67,3,2,0,0,2,1.25,3,3,2.26,3,2,2,2,2.33,1,1,1,2,0,2,1,0,2,2,1,1.33,2,3,1,2.5,1,1,1,3,3,3,2.5,1.78,3,3,2,2,2.67,3,3,2,2,2.67,3,3,3,2,2,2,2.75,3,2,3,3,2,0,2,1,2,1.6,1,1,1,1,0,0,0,1,3,2,3,2,1,3,2,2.33,3,1,3,3,3,1,2.33,0,2,1,1,3,3,1,2,2.33,1,0,0,0.5,2.02,2.02,12,5,7,17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
