Domain Code,Domain,Area Code (M49),Area,Element Code,Element,Item Code (CPC),Item,Year Code,Year,Unit,Value,Flag,Flag Description
"QCL","Crops and livestock products","004","Afghanistan","5510","Production","21512","Cattle fat, unrendered","2019","2019","t","2377.48","I","Imputed value"
"QCL","Crops and livestock products","004","Afghanistan","5510","Production","21151","Edible offal of cattle, fresh, chilled or frozen","2019","2019","t","17008.16","I","Imputed value"
"QCL","Crops and livestock products","004","Afghanistan","5510","Production","21156","Edible offal of goat, fresh, chilled or frozen","2019","2019","t","9145.38","I","Imputed value"
"QCL","Crops and livestock products","004","Afghanistan","5510","Production","21155","Edible offal of sheep, fresh, chilled or frozen","2019","2019","t","15615.85","I","Imputed value"
"QCL","Crops and livestock products","004","Afghanistan","5510","Production","21159.02","Edible offals of camels and other camelids, fresh, chilled or frozen","2019","2019","t","549.05","I","Imputed value"
"QCL","Crops and livestock products","004","Afghanistan","5510","Production","21519.02","Fat of camels","2019","2019","t","256.22","I","Imputed value"
"QCL","Crops and livestock products","004","Afghanistan","5510","Production","21170.02","Game meat, fresh, chilled or frozen","2019","2019","t","8003.05","I","Imputed value"
"QCL","Crops and livestock products","004","Afghanistan","5510","Production","21515","Goat fat, unrendered","2019","2019","t","1732.81","I","Imputed value"
"QCL","Crops and livestock products","004","Afghanistan","5510","Production","0231","Hen eggs in shell, fresh","2019","2019","t","22040.18","I","Imputed value"
"QCL","Crops and livestock products","004","Afghanistan","5513","Production","0231","Hen eggs in shell, fresh","2019","2019","1000 No","440804","I","Imputed value"
"QCL","Crops and livestock products","004","Afghanistan","5510","Production","21117.01","Meat of camels, fresh or chilled","2019","2019","t","3660.33","I","Imputed value"
"QCL","Crops and livestock products","004","Afghanistan","5510","Production","21111.01","Meat of cattle with the bone, fresh or chilled","2019","2019","t","96928.22","I","Imputed value"
"QCL","Crops and livestock products","004","Afghanistan","5510","Production","21121","Meat of chickens, fresh or chilled","2019","2019","t","27877.47","I","Imputed value"
"QCL","Crops and livestock products","004","Afghanistan","5510","Production","21116","Meat of goat, fresh or chilled","2019","2019","t","47170.92","I","Imputed value"
"QCL","Crops and livestock products","004","Afghanistan","5510","Production","21115","Meat of sheep, fresh or chilled","2019","2019","t","76485.8","I","Imputed value"
"QCL","Crops and livestock products","004","Afghanistan","5510","Production","02910","Natural honey","2019","2019","t","1620.13","E","Estimated value"
"QCL","Crops and livestock products","004","Afghanistan","5510","Production","02951.01","Raw hides and skins of cattle","2019","2019","t","15910.86","I","Imputed value"
"QCL","Crops and livestock products","004","Afghanistan","5510","Production","02954","Raw hides and skins of goats or kids","2019","2019","t","7123.77","I","Imputed value"
"QCL","Crops and livestock products","004","Afghanistan","5510","Production","02953","Raw hides and skins of sheep or lambs","2019","2019","t","12110.25","I","Imputed value"
"QCL","Crops and livestock products","004","Afghanistan","5510","Production","02293","Raw milk of camel","2019","2019","t","6863.59","I","Imputed value"
"QCL","Crops and livestock products","004","Afghanistan","5510","Production","02211","Raw milk of cattle","2019","2019","t","1811627.98","I","Imputed value"
"QCL","Crops and livestock products","004","Afghanistan","5510","Production","02292","Raw milk of goats","2019","2019","t","117531.69","I","Imputed value"
"QCL","Crops and livestock products","004","Afghanistan","5510","Production","02291","Raw milk of sheep","2019","2019","t","203661.6","I","Imputed value"
