Domain Code,Domain,Area Code (M49),Area,Element Code,Element,Item Code (CPC),Item,Year Code,Year,Unit,Value,Flag,Flag Description
"QCL","Crops and livestock products","004","Afghanistan","5510","Production","01371","Almonds, in shell","2019","2019","t","38205","A","Official figure"
"QCL","Crops and livestock products","004","Afghanistan","5510","Production","01654","Anise, badian, coriander, cumin, caraway, fennel and juniper berries, raw","2019","2019","t","18903.37","I","Imputed value"
"QCL","Crops and livestock products","004","Afghanistan","5510","Production","01341","Apples","2019","2019","t","250324","A","Official figure"
"QCL","Crops and livestock products","004","Afghanistan","5510","Production","01343","Apricots","2019","2019","t","129363","A","Official figure"
"QCL","Crops and livestock products","004","Afghanistan","5510","Production","0115","Barley","2019","2019","t","123576","A","Official figure"
"QCL","Crops and livestock products","004","Afghanistan","5510","Production","01229","Cantaloupes and other melons","2019","2019","t","464230","A","Official figure"
"QCL","Crops and livestock products","004","Afghanistan","5510","Production","01315","Figs","2019","2019","t","24319","A","Official figure"
"QCL","Crops and livestock products","004","Afghanistan","5510","Production","01330","Grapes","2019","2019","t","1112927","A","Official figure"
"QCL","Crops and livestock products","004","Afghanistan","5510","Production","01441","Linseed","2019","2019","t","55000","A","Official figure"
"QCL","Crops and livestock products","004","Afghanistan","5510","Production","0112","Maize (corn)","2019","2019","t","184671","A","Official figure"
"QCL","Crops and livestock products","004","Afghanistan","5510","Production","0118","Millet","2019","2019","t","2714","A","Official figure"
"QCL","Crops and livestock products","004","Afghanistan","5510","Production","01450","Olives","2019","2019","t","7702.99","E","Estimated value"
"QCL","Crops and livestock products","004","Afghanistan","5510","Production","01253.02","Onions and shallots, dry (excluding dehydrated)","2019","2019","t","352725","A","Official figure"
"QCL","Crops and livestock products","004","Afghanistan","5510","Production","01323","Oranges","2019","2019","t","6135.01","I","Imputed value"
"QCL","Crops and livestock products","004","Afghanistan","5510","Production","01355.90","Other berries and fruits of the genus vaccinium n.e.c.","2019","2019","t","29666.3","I","Imputed value"
"QCL","Crops and livestock products","004","Afghanistan","5510","Production","01329","Other citrus fruit, n.e.c.","2019","2019","t","30442.29","I","Imputed value"
"QCL","Crops and livestock products","004","Afghanistan","5510","Production","01359.90","Other fruits, n.e.c.","2019","2019","t","62242.2","E","Estimated value"
"QCL","Crops and livestock products","004","Afghanistan","5510","Production","01379.90","Other nuts (excluding wild edible nuts and groundnuts), in shell, n.e.c.","2019","2019","t","1730","E","Estimated value"
"QCL","Crops and livestock products","004","Afghanistan","5510","Production","01709.90","Other pulses n.e.c.","2019","2019","t","40707.49","I","Imputed value"
"QCL","Crops and livestock products","004","Afghanistan","5510","Production","01699","Other stimulant, spice and aromatic crops, n.e.c.","2019","2019","t","4.18","I","Imputed value"
"QCL","Crops and livestock products","004","Afghanistan","5510","Production","01349.20","Other stone fruits","2019","2019","t","48612.42","E","Estimated value"
"QCL","Crops and livestock products","004","Afghanistan","5510","Production","01290.90","Other vegetables, fresh n.e.c.","2019","2019","t","1041976.21","I","Imputed value"
"QCL","Crops and livestock products","004","Afghanistan","5510","Production","01345","Peaches and nectarines","2019","2019","t","61361","A","Official figure"
